provider_id,qr_rating,capacity,min_age_months,max_age_months,num_violations,num_distinct_violation_rules,num_monitoring_visits,num_enforcement_actions,vacancies_count,has_waitlist,waitlist_total,care_after_school_care,care_before_school_care,care_drop_in_care,care_rotating_care,care_sick_care,language_english,language_spanish,philosophy_cognitive_based_philosophy,philosophy_high_scope,philosophy_montessori,philosophy_parent_co_op,philosophy_reggio_emilia,philosophy_religious,philosophy_waldorf_steiner,regtype_certified_family,regtype_licensed_camp,regtype_licensed_family,regtype_licensed_group,regtype_public_school,service_4k_programming,service_ehs_ccp_programming,service_ehs_programming,service_head_start_programming,service_infant_child_care,service_night_time_child_care,service_weekend_child_care
880,2,65,0.0,155.0,4,4,4,1,0,False,0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False
82,2,101,1.38,155.0,8,5,11,4,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
483,3,8,0.92,155.0,0,0,3,0,0,False,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
4531,3,48,1.38,155.0,28,21,8,1,0,True,17,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
616,2,75,0.92,155.0,62,30,11,10,0,False,0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1075,2,8,2.0,155.0,1,1,3,0,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
1195,3,8,0.46,155.0,0,0,3,0,0,True,9,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
1348,5,132,1.38,155.0,4,3,7,0,0,True,114,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
1618,2,77,60.0,155.0,6,6,4,0,0,True,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
210,2,18,60.0,155.0,7,5,3,0,0,False,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2471,2,24,60.0,155.0,0,0,3,0,0,False,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2943,3,19,48.0,155.0,3,3,4,0,0,False,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4751,2,26,48.0,155.0,8,6,4,0,0,True,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2492,2,34,60.0,155.0,5,5,4,0,0,False,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2166,2,34,60.0,155.0,5,5,5,0,0,False,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1295,5,76,1.38,155.0,4,4,6,2,0,True,178,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
4319,5,32,24.0,143.0,0,0,3,0,0,True,2,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1839,2,8,1.38,143.0,3,3,2,0,0,True,3,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
337,3,50,1.38,143.0,22,20,4,7,0,False,0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
3777,5,30,60.0,167.0,0,0,3,0,0,True,19,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1395,3,100,0.0,155.0,25,22,5,0,0,True,72,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
3184,3,114,0.46,155.0,9,9,6,1,0,False,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
1802,4,125,1.38,155.0,26,19,7,4,0,True,20,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
2511,3,8,0.46,155.0,11,11,2,0,0,False,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2076,5,160,36.0,155.0,21,13,12,1,0,False,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
701,3,75,1.38,143.0,9,8,5,0,0,False,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2007,3,85,1.38,155.0,5,3,6,2,0,False,0,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
4117,3,200,1.38,143.0,15,14,6,1,0,True,31,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1969,2,8,1.38,71.0,3,3,2,0,0,False,0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2990,3,25,24.0,167.0,1,1,2,0,0,False,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2036,2,49,1.38,155.0,26,18,10,1,0,False,0,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2589,2,8,2.0,131.0,3,3,4,0,0,True,5,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
3138,5,165,1.38,119.0,16,12,11,2,0,True,35,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
3056,2,8,1.38,155.0,6,5,2,0,0,False,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
663,4,102,1.38,143.0,1,1,5,0,0,True,30,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
4363,3,40,1.38,155.0,25,22,4,0,0,True,15,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
3564,3,80,1.38,132.0,8,8,4,0,0,True,6,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
2906,2,96,48.0,155.0,4,4,2,0,0,False,0,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
353,2,54,48.0,155.0,2,2,3,0,0,True,11,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4228,2,72,48.0,155.0,3,3,3,0,0,True,5,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1812,2,8,0.92,167.0,14,12,3,0,0,False,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
4253,5,78,1.38,156.0,8,8,3,0,0,False,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2213,2,8,0.92,156.0,15,15,6,0,0,False,0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True
1200,5,150,1.38,71.0,40,29,3,5,0,False,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1696,3,65,1.38,155.0,42,32,7,2,0,False,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
251,3,50,0.92,167.0,16,15,6,2,0,False,0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
3149,3,44,0.92,155.0,14,11,3,1,0,False,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
4694,3,100,0.0,167.0,25,21,9,0,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
4030,2,8,1.38,155.0,3,3,2,0,0,True,15,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True
2558,5,110,1.38,156.0,7,7,6,1,0,True,6,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False
1724,5,123,1.38,155.0,22,17,5,0,0,True,14,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
2425,2,43,0.0,156.0,8,8,2,0,0,True,4,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
4346,3,85,1.38,143.0,9,6,7,1,0,True,21,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
776,5,145,30.0,119.0,4,3,3,0,0,True,36,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
3758,2,24,1.38,143.0,13,13,3,1,0,False,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1016,4,60,24.0,155.0,6,5,7,2,0,True,37,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
3508,2,8,1.38,155.0,3,3,4,0,0,True,5,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
