provider_id,qr_rating,program_status,registration_fee,activity_fee,operating_months,operating_days,operating_hours,licensed_capacity,pre_k_slots_available,has_liability_insurance,non_profit,accepts_children_new,accepts_children_full_time,accepts_children_part_time,ages_served_infant_0_to_12_months,ages_served_toddler_13mos_to_2yrs,ages_served_preschool_3yrs_to_4yrs,ages_served_pre_k_served,ages_served_school_age_5yrs_plus,has_transport_to_from_home,has_transport_to_from_school,has_transport_afterschool_only,has_transport_georgia_pre_k_only,has_transport_near_public_transport,has_transport_schoolbus,has_transport_fieldtrips,has_transport_before_after_school,has_meal_breakfast,has_meal_lunch,has_meal_dinner,has_meal_am_snack,has_meal_pm_snack,has_special_diets,has_infant_meals,has_parent_provided_meals,has_summer_camp,has_summer_camp_before_care,has_summer_camp_after_care,has_services_caps,has_services_headstart,has_services_after_school_only,has_services_religion,has_services_cacfp,has_services_school_age_summer_care,has_services_drop_in_care,has_services_sfsp,has_services_evening_care,environment_has_no_pets,environment_has_provide_your_own_equipment,environment_has_sports_fields,environment_has_video_surveillance,environment_has_outdoor_play_area,environment_has_secure_access,environment_has_tennis_courts,environment_has_webcam_for_parents,environment_has_pools,environment_has_smoke_free,activities,other_child_care_types,financial_information,languages_offered,special_hours,curriculum,family_engagement,accreditation_status,weekly_full_day_under_1_year,vacancies_under_1_year,#_of_rooms_under_1_year,staff_child_ratio_under_1_year,daily_drop_in_care_under_1_year,weekly_full_day_1_year,vacancies_1_year,#_of_rooms_1_year,staff_child_ratio_1_year,daily_drop_in_care_1_year,weekly_full_day_2_years,vacancies_2_years,#_of_rooms_2_years,staff_child_ratio_2_years,daily_drop_in_care_2_years,weekly_full_day_3_years,vacancies_3_years,#_of_rooms_3_years,staff_child_ratio_3_years,daily_drop_in_care_3_years,weekly_full_day_4_years,weekly_before_school_4_years,weekly_after_school_4_years,vacancies_4_years,#_of_rooms_4_years,staff_child_ratio_4_years,daily_drop_in_care_4_years,weekly_full_day_5_years_kindergarten,weekly_before_school_5_years_kindergarten,weekly_after_school_5_years_kindergarten,vacancies_5_years_kindergarten,#_of_rooms_5_years_kindergarten,staff_child_ratio_5_years_kindergarten,daily_drop_in_care_5_years_kindergarten,day_camp_(min-max)_5_years_kindergarten,weekly_before_school_5_years_and_older,weekly_after_school_5_years_and_older,vacancies_5_years_and_older,#_of_rooms_5_years_and_older,staff_child_ratio_5_years_and_older,daily_drop_in_care_5_years_and_older,day_camp_(min-max)_5_years_and_older,2026_compliance_total_rule_violations,2026_compliance_total_rules_met,2026_compliance_activities_and_equipment_rules_met,2026_compliance_activities_and_equipment_rules_total,2026_compliance_children's_records_rules_met,2026_compliance_children's_records_rules_total,2026_compliance_evening_care_rules_met,2026_compliance_evening_care_rules_total,2026_compliance_facility_rules_met,2026_compliance_facility_rules_total,2026_compliance_food_service_rules_met,2026_compliance_food_service_rules_total,2026_compliance_health_and_hygiene_rules_met,2026_compliance_health_and_hygiene_rules_total,2026_compliance_organization_rules_met,2026_compliance_organization_rules_total,2026_compliance_policies_and_procedures_rules_met,2026_compliance_policies_and_procedures_rules_total,2026_compliance_safety_rules_met,2026_compliance_safety_rules_total,2026_compliance_staff_records_rules_met,2026_compliance_staff_records_rules_total,2026_compliance_staffing_and_supervision_rules_met,2026_compliance_staffing_and_supervision_rules_total,2026_compliance_sleeping_and_resting_equipment_rules_met,2026_compliance_sleeping_and_resting_equipment_rules_total,compliance,2025_compliance_total_rule_violations,2025_compliance_total_rules_met,2025_compliance_activities_and_equipment_rules_met,2025_compliance_activities_and_equipment_rules_total,2025_compliance_children's_records_rules_met,2025_compliance_children's_records_rules_total,2025_compliance_evening_care_rules_met,2025_compliance_evening_care_rules_total,2025_compliance_facility_rules_met,2025_compliance_facility_rules_total,2025_compliance_food_service_rules_met,2025_compliance_food_service_rules_total,2025_compliance_health_and_hygiene_rules_met,2025_compliance_health_and_hygiene_rules_total,2025_compliance_organization_rules_met,2025_compliance_organization_rules_total,2025_compliance_policies_and_procedures_rules_met,2025_compliance_policies_and_procedures_rules_total,2025_compliance_safety_rules_met,2025_compliance_safety_rules_total,2025_compliance_staff_records_rules_met,2025_compliance_staff_records_rules_total,2025_compliance_staffing_and_supervision_rules_met,2025_compliance_staffing_and_supervision_rules_total,2025_compliance_sleeping_and_resting_equipment_rules_met,2025_compliance_sleeping_and_resting_equipment_rules_total,2026_compliance_licensure_rules_met,2026_compliance_licensure_rules_total,2026_compliance_safety_and_discipline_rules_met,2026_compliance_safety_and_discipline_rules_total,2026_compliance_staff:child_ratios_and_supervision_rules_met,2026_compliance_staff:child_ratios_and_supervision_rules_total,2025_compliance_licensure_rules_met,2025_compliance_licensure_rules_total,2025_compliance_safety_and_discipline_rules_met,2025_compliance_safety_and_discipline_rules_total,2025_compliance_staff:child_ratios_and_supervision_rules_met,2025_compliance_staff:child_ratios_and_supervision_rules_total,2024_compliance_total_rule_violations,2024_compliance_total_rules_met,2024_compliance_activities_and_equipment_rules_met,2024_compliance_activities_and_equipment_rules_total,2024_compliance_children's_records_rules_met,2024_compliance_children's_records_rules_total,2024_compliance_evening_care_rules_met,2024_compliance_evening_care_rules_total,2024_compliance_facility_rules_met,2024_compliance_facility_rules_total,2024_compliance_food_service_rules_met,2024_compliance_food_service_rules_total,2024_compliance_health_and_hygiene_rules_met,2024_compliance_health_and_hygiene_rules_total,2024_compliance_organization_rules_met,2024_compliance_organization_rules_total,2024_compliance_policies_and_procedures_rules_met,2024_compliance_policies_and_procedures_rules_total,2024_compliance_safety_rules_met,2024_compliance_safety_rules_total,2024_compliance_staff_records_rules_met,2024_compliance_staff_records_rules_total,2024_compliance_staffing_and_supervision_rules_met,2024_compliance_staffing_and_supervision_rules_total,2024_compliance_sleeping_and_resting_equipment_rules_met,2024_compliance_sleeping_and_resting_equipment_rules_total,ages_served_other_than_pre_k,provider_type,geo_county,geo_region
3638,3,Open,65.0,50.0,Year Round,Mon - Fri,Weekday: 07:00 AM - 06:00 PM,Licensed Capacity: 138,3,Yes,,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,False,True,True,False,True,True,True,False,False,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,"Academic	Creative Expression (art, ceramics, dance, drama, music, photography, singing)	Field Trips	STEM (Science, Technology, Engineering, Math)",Before-school Program	After-school Program	Georgia's Pre-K,,other,Drop in	Open school holidays	Open school breaks,Creative Curriculum,other,,130.0,,1.0,1:6,30.0,125.0,,1.0,1:6,30.0,120.0,,1.0,1:8,30.0,115.0,,1.0,1:10,30.0,115.0,65.0,65.0,,3.0,1:10,30.0,115.0,65.0,65.0,,1.0,1:18,30.0,other,65.0,65.0,,2.0,1:18,30.0,$105.00-$105.00,,,,,,,,,,,,,,,,,,,,,,,,,,,Good-Standing,3.0,337.0,32.0,32.0,12.0,12.0,4.0,4.0,38.0,39.0,37.0,37.0,32.0,32.0,26.0,26.0,12.0,12.0,46.0,46.0,72.0,73.0,10.0,10.0,16.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,CCLC,county_4,region_se
489,3,Open,200.0,100.0,Year Round,Mon - Fri,Weekday: 06:30 AM - 06:30 PM,Licensed Capacity: 121,,Yes,True,True,True,False,False,True,True,False,True,False,False,False,False,True,True,False,False,True,True,False,False,True,True,True,False,True,False,False,True,False,False,True,True,True,False,False,False,True,False,False,True,True,True,False,False,False,True,"Academic	Creative Expression (art, ceramics, dance, drama, music, photography, singing)	Field Trips	Religious/Faith-based",Before-school Program	After-school Program	Summer Camp,,English (Taught and Spoken by Staff),Open school holidays	Open school breaks,A Beka Curriculum,"Communication using flyers, newsletters, phone calls, e-mails, etc.",,,,,,,285.0,4.0,1.0,1:8,,280.0,7.0,1.0,1:10,,275.0,11.0,1.0,1:15,,250.0,,,14.0,1.0,1:18,,,,,,,,,,70.0,85.0,,1.0,,,other,1.0,342.0,32.0,32.0,12.0,12.0,4.0,4.0,39.0,39.0,37.0,37.0,33.0,33.0,26.0,26.0,14.0,14.0,46.0,46.0,72.0,73.0,10.0,10.0,17.0,17.0,Good-Standing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,CCLC,county_80,region_cw
1878,1,Open,80.0,0.0,Year Round,Mon - Fri,Weekday: 07:00 AM - 05:30 PM,Licensed Capacity: 84,0.0,Yes,,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,"Academic	Outdoor Adventure (hiking, nature discovery, earth science, survival skills)	Creative Expression (art, ceramics, dance, drama, music, photography, singing)",Before-school Program	After-school Program	Georgia's Pre-K,,English (Taught and Spoken by Staff)	Spanish (Taught and Spoken by Staff),Open school holidays	Open school breaks,GELDS,"Communication using flyers, newsletters, phone calls, e-mails, etc.",,135.0,,1.0,1:6,,130.0,,1.0,1:8,,130.0,,1.0,1:10,,125.0,,2.0,1:15,,125.0,80.0,80.0,,1.0,1:18,,125.0,,,,,,,$0.00-$0.00,80.0,80.0,,,,,$0.00-$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,Good-Standing,4.0,336.0,32.0,32.0,12.0,12.0,4.0,4.0,38.0,39.0,37.0,37.0,32.0,32.0,26.0,26.0,11.0,12.0,46.0,46.0,71.0,73.0,10.0,10.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,CCLC,county_4,region_ne
5575,2,Open,100.0,0.0,Year Round,Mon - Fri,,Licensed Capacity: 142,other,Yes,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,False,True,False,False,False,True,True,False,False,False,True,other,After-school Program	Summer Camp	Georgia's Pre-K,Multi-Child Discount,English (Taught and Spoken by Staff)	Spanish (Spoken by Staff),Drop in	Open school holidays	Open school breaks,Creative Curriculum	Creative Curriculum for Preschool,"Communication using flyers, newsletters, phone calls, e-mails, etc.",,385.0,6.0,1.0,1:6,55.0,355.0,6.0,1.0,1:8,55.0,325.0,8.0,1.0,1:10,55.0,305.0,3.0,1.0,1:10,55.0,295.0,175.0,175.0,17.0,3.0,1:11,55.0,195.0,175.0,175.0,,,,55.0,$0.00-$0.00,175.0,175.0,8.0,1.0,1:15,55.0,$215.00-$215.00,,,,,,,,,,,,,,,,,,,,,,,,,,,Good-Standing,7.0,333.0,32.0,32.0,12.0,12.0,4.0,4.0,37.0,39.0,37.0,37.0,31.0,32.0,26.0,26.0,12.0,12.0,45.0,46.0,70.0,73.0,10.0,10.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,CCLC,county_51,region_nw
8126,2,Open,100.0,0.0,Year Round,Mon - Fri,Weekday: 06:30 AM - 06:00 PM,Licensed Capacity: 124,,Yes,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,False,True,True,True,False,False,True,False,False,False,True,False,False,False,False,True,Academic,Before-school Program	After-school Program	Summer Camp,Scholarship	Sliding Scale Fee,other,Drop in,Creative Curriculum,other,,,,,,,210.0,,,1:7,75.0,190.0,,,1:9,75.0,170.0,,,1:14,65.0,170.0,75.0,75.0,,,1:14,65.0,,,,,,,,,70.0,70.0,,,1:14,65.0,$170.00-$170.00,0.0,343.0,32.0,32.0,12.0,12.0,4.0,4.0,39.0,39.0,37.0,37.0,33.0,33.0,26.0,26.0,14.0,14.0,46.0,46.0,73.0,73.0,10.0,10.0,17.0,17.0,Good-Standing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,CCLC,county_4,region_ne
1554,3,Open,100.0,0.0,Year Round,Mon - Fri,Weekday: 06:00 AM - 06:30 PM,Licensed Capacity: 203,8.0,Yes,,False,True,True,True,True,True,True,True,False,True,False,False,False,False,True,True,True,True,False,True,True,True,False,False,True,True,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,Field Trips,Before-school Program	After-school Program	Summer Camp	Georgia's Pre-K,Multi-Child Discount,English (Taught and Spoken by Staff),Open school holidays	Open school breaks,Creative Curriculum,other,,280.0,,1.0,1:4,,280.0,,1.0,1:6,,270.0,,1.0,1:7,,250.0,,2.0,1:9,,250.0,95.0,110.0,,3.0,,,185.0,95.0,110.0,,1.0,1:10,,other,95.0,110.0,,3.0,,,other,9.0,334.0,32.0,32.0,12.0,12.0,4.0,4.0,36.0,39.0,36.0,37.0,31.0,33.0,26.0,26.0,14.0,14.0,45.0,46.0,72.0,73.0,9.0,10.0,17.0,17.0,Good-Standing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,CCLC,county_83,region_ne
2569,2,Open,50.0,0.0,Year Round,Mon - Fri,Weekday: 07:30 AM - 05:30 PM,Licensed Capacity: 236,0.0,Yes,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,False,True,"Creative Expression (art, ceramics, dance, drama, music, photography, singing)	Field Trips	STEM (Science, Technology, Engineering, Math)",other,Scholarship	Sliding Scale Fee,,,Creative Curriculum,other,,240.0,4.0,1.0,1:4,,230.0,6.0,1.0,1:4,,230.0,6.0,2.0,1:6,,220.0,4.0,1.0,1:10,,90.0,,85.0,7.0,3.0,1:10,,,,,,,,,$0.00-$0.00,,,,,,,,4.0,339.0,32.0,32.0,12.0,12.0,4.0,4.0,36.0,39.0,37.0,37.0,33.0,33.0,26.0,26.0,14.0,14.0,46.0,46.0,73.0,73.0,10.0,10.0,16.0,17.0,Good-Standing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,CCLC,county_75,region_ce
4237,3,Open,25.0,0.0,Year Round,Mon - Fri,Weekday: 07:00 AM - 05:30 PM,Licensed Capacity: 204,4.0,Yes,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,"Academic	Creative Expression (art, ceramics, dance, drama, music, photography, singing)",After-school Program	Georgia's Pre-K,Sliding Scale Fee,English (Taught and Spoken by Staff)	Spanish (Taught and Spoken by Staff),Open school breaks,Creative Curriculum,"Communication using flyers, newsletters, phone calls, e-mails, etc.",,150.0,,1.0,1:3,,150.0,,1.0,1:3,,150.0,,1.0,1:5,,150.0,,1.0,1:5,,150.0,,75.0,,1.0,1:10,,150.0,,75.0,,,,,other,,,,,,,other,2.0,341.0,32.0,32.0,12.0,12.0,4.0,4.0,38.0,39.0,37.0,37.0,32.0,33.0,26.0,26.0,14.0,14.0,46.0,46.0,73.0,73.0,10.0,10.0,17.0,17.0,Good-Standing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,CCLC,county_4,region_ne
6400,2,Open,150.0,0.0,Year Round,Mon - Fri,Weekday: 06:30 AM - 06:30 PM,Licensed Capacity: 125,22.0,Yes,,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,False,True,True,True,False,False,True,False,False,True,True,True,False,False,False,True,"Academic	Creative Expression (art, ceramics, dance, drama, music, photography, singing)	Field Trips",Before-school Program	After-school Program	Summer Camp	Georgia's Pre-K,Multi-Child Discount,English (Taught and Spoken by Staff),Drop in	Open school holidays	Open school breaks,Creative Curriculum,"Communication using flyers, newsletters, phone calls, e-mails, etc.",,250.0,,1.0,1:6,75.0,250.0,10.0,1.0,1:8,75.0,215.0,9.0,1.0,1:10,75.0,205.0,10.0,1.0,1:15,75.0,205.0,70.0,100.0,52.0,3.0,1:11,75.0,,70.0,100.0,2.0,1.0,1:20,65.0,$0.00-$160.00,70.0,100.0,10.0,2.0,1:25,65.0,$0.00-$160.00,1.0,342.0,32.0,32.0,12.0,12.0,4.0,4.0,38.0,39.0,37.0,37.0,33.0,33.0,26.0,26.0,14.0,14.0,46.0,46.0,73.0,73.0,10.0,10.0,17.0,17.0,Good-Standing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,CCLC,county_83,region_ne
6574,2,Open,65.0,0.0,Year Round,Mon - Fri,Weekday: 06:30 AM - 06:00 PM,Licensed Capacity: 108,10,Yes,True,False,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,True,True,True,False,True,False,False,True,False,False,False,True,True,True,False,False,True,False,False,False,True,True,False,False,False,True,"Academic	Creative Expression (art, ceramics, dance, drama, music, photography, singing)",Before-school Program	After-school Program	Summer Camp	Georgia's Pre-K,Scholarship,English (Taught and Spoken by Staff),,Creative Curriculum,"Communication using flyers, newsletters, phone calls, e-mails, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good-Standing,0.0,340.0,32.0,32.0,12.0,12.0,4.0,4.0,39.0,39.0,37.0,37.0,32.0,32.0,26.0,26.0,12.0,12.0,46.0,46.0,73.0,73.0,10.0,10.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,CCLC,county_51,region_nw
