provider_id,qr_rating,licensed_capacity,num_visits,age_min,age_max,license_age_days,visits_count,violations_count,amenity_accredited_by_a_national_organization,amenity_field_trips,amenity_home_pick_up,amenity_provides_care_for_head_start,amenity_provides_nc_pre_k,amenity_provides_transportation,amenity_will_enroll_children_with_special_needs,facility_type_ccc,facility_type_fcc,ratio_1_year_olds_children,ratio_2_year_olds_children,ratio_3_year_olds_children,ratio_4_year_olds_children,ratio_5_12_year_olds_children,ratio_5_year_old_pre_schoolers_children,ratio_infants_children,restriction_daytime_care_only,restriction_enhanced_requirements,restriction_no_cooking,restriction_reduced_ratios,restriction_serves_no_more_than_two,visits_announced_announced_count,visits_announced_unannounced_count
3226,5,18,6,3,6,2668,6,3,0,0,0,0,1,1,1,1,0,0,0,9,9,9,0,0,0,0,0,0,0,0,6
2231,5,18,5,3,6,2349,5,3,0,0,0,0,1,1,1,1,0,0,0,9,9,9,0,0,0,0,0,0,0,0,5
5837,4,184,7,0,12,1830,7,4,0,0,0,0,0,0,0,1,0,0,0,10,13,20,0,0,0,0,0,0,0,0,7
435,5,18,5,3,6,2349,5,3,0,0,0,0,1,0,0,1,0,0,0,9,9,9,0,0,0,0,0,0,0,0,5
5892,3,21,7,1,12,3060,7,2,0,0,0,0,0,0,0,1,0,0,0,9,12,19,0,0,0,0,0,0,0,0,7
355,3,46,5,3,12,1773,5,2,0,0,0,0,0,0,0,1,0,0,0,10,13,20,0,0,0,0,0,0,0,0,5
4623,3,112,6,0,12,2916,6,5,0,0,0,0,0,1,0,1,0,0,0,15,20,25,0,0,,,,,,1,5
92,5,36,6,3,6,1248,6,4,0,0,0,0,1,1,0,1,0,0,0,9,9,9,0,0,0,0,0,0,0,0,6
5238,5,18,5,3,6,2320,5,5,0,0,0,0,1,1,0,1,0,0,0,9,9,19,9,0,0,0,0,0,0,0,5
2897,3,8,8,0,12,1816,8,4,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,1,7
6489,1,8,7,0,12,57,7,4,0,0,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,1,6
326,3,99,6,3,12,2089,6,3,0,0,0,0,0,0,1,1,0,0,0,15,20,25,0,0,,,,,,1,5
136,5,20,5,3,5,858,5,3,0,0,0,1,1,0,1,1,0,0,0,9,12,19,0,0,0,0,0,0,0,0,5
2141,5,20,6,3,5,858,6,2,0,0,0,1,0,0,1,1,0,0,0,9,12,19,0,0,0,0,0,0,0,1,5
5288,4,72,9,1,12,1366,9,3,0,0,1,1,0,1,1,1,0,0,0,9,12,14,0,0,0,0,0,1,0,2,7
2973,4,76,11,0,12,2682,11,5,0,0,0,0,0,0,1,1,0,0,0,10,13,15,0,0,,,,,,0,11
81,5,100,6,3,12,1283,6,2,0,0,0,0,1,1,1,1,0,0,0,9,9,9,0,0,0,0,0,1,0,0,6
471,4,49,10,1,5,790,10,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,1,9
4458,5,60,8,3,5,695,8,3,0,0,0,0,1,1,1,1,0,0,0,9,12,0,0,0,0,0,0,1,0,1,7
3167,4,164,32,0,12,259,32,15,0,0,0,0,0,0,1,1,0,0,0,10,13,15,0,0,,,,,,5,27
1279,5,100,7,0,5,78,7,4,0,0,0,1,1,1,1,1,0,0,0,9,9,14,0,0,,,,,,1,6
6545,5,74,8,0,12,1425,8,6,0,1,0,0,1,1,1,1,0,0,0,10,13,15,0,0,,,,,,2,6
3609,5,78,11,0,12,1284,11,5,0,0,0,0,0,0,1,1,0,0,0,9,12,19,0,0,0,0,0,1,0,0,11
962,5,105,10,1,5,106,10,3,0,0,0,1,0,1,1,1,0,0,0,10,13,0,13,0,,,,,,1,9
2021,5,72,10,3,5,275,10,4,0,0,0,0,1,1,1,1,0,0,0,11,17,0,0,0,0,0,0,0,0,3,7
3003,5,125,6,5,12,907,6,1,0,0,0,0,0,0,1,1,0,0,0,0,13,19,0,0,0,0,0,1,0,0,6
1035,5,100,6,5,12,941,6,2,0,0,0,0,0,0,1,1,0,0,0,0,0,19,0,0,0,1,0,1,0,1,5
4021,5,125,6,5,12,907,6,2,0,0,0,0,0,0,1,1,0,0,0,10,13,19,0,0,0,0,0,1,0,1,5
1200,2,8,6,0,12,2481,6,3,0,0,0,0,0,1,0,0,1,,,,,,,,0,0,0,0,0,0,6
1146,5,125,8,5,12,941,8,6,0,0,0,0,0,0,1,1,0,0,0,0,13,20,0,0,0,0,0,0,0,1,7
101,4,82,10,0,12,2441,10,8,0,0,0,0,0,1,1,1,0,0,0,9,12,19,0,0,0,0,0,0,0,0,10
3529,4,124,34,0,12,2654,34,9,0,0,0,0,1,1,1,1,0,0,0,10,13,20,0,0,,,,,,6,28
917,4,8,6,0,12,1059,6,4,0,0,0,0,0,1,1,0,1,,,,,,,,0,0,0,0,1,0,6
1398,5,125,6,5,12,941,6,2,0,0,0,0,0,0,1,1,0,0,0,0,0,19,0,0,0,0,0,0,0,1,5
5085,5,125,8,5,12,907,8,2,0,0,0,0,0,0,1,1,0,0,0,0,0,25,0,0,0,0,0,1,0,3,5
3392,4,8,8,0,12,976,8,2,0,0,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,8
248,5,277,16,0,12,2308,16,3,0,1,0,0,1,1,1,1,0,0,0,10,13,20,0,0,0,0,0,0,0,2,14
1198,5,125,7,5,12,907,7,2,0,0,0,0,0,1,1,1,0,0,0,0,0,19,0,0,0,0,0,1,0,1,6
5403,5,155,8,5,12,907,8,1,0,1,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,1,0,2,6
5485,5,130,6,5,12,326,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,1,0,1,5
2873,5,125,7,5,12,941,7,2,0,1,0,0,0,0,1,1,0,0,0,0,0,19,0,0,0,0,0,0,0,1,6
3432,5,121,8,5,12,941,8,5,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,1,0,1,7
454,4,178,28,0,12,1730,28,15,0,0,0,0,0,1,0,1,0,0,0,10,13,15,0,0,,,,,,0,28
1401,5,180,12,0,12,2951,12,5,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,7
4102,5,125,9,5,12,941,9,3,0,0,0,0,0,0,1,1,0,0,0,0,0,19,0,0,0,0,0,1,0,1,8
5579,5,111,17,0,12,2557,17,9,0,0,0,0,1,0,0,1,0,0,0,10,10,15,0,0,0,0,0,0,0,1,16
946,5,36,8,0,12,984,8,4,0,0,0,0,0,0,0,1,0,0,0,13,13,13,0,0,,,,,,1,7
4977,4,49,8,1,12,2283,8,5,0,0,0,0,0,1,1,1,0,0,0,8,11,18,0,0,0,0,0,1,0,0,8
1709,3,10,7,0,12,134,7,4,0,0,0,0,0,1,0,0,1,,,,,,,,0,0,0,0,0,0,7
3175,5,157,23,0,12,533,23,9,0,0,0,0,0,0,0,1,0,0,0,15,20,25,0,0,0,0,0,0,0,1,22
1788,5,190,22,0,12,656,22,11,0,0,0,0,0,1,0,1,0,0,0,9,12,14,0,0,,,,,,0,22
1550,5,54,8,3,5,2376,8,6,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
3761,5,36,7,3,5,942,7,6,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
4124,4,100,13,0,12,684,13,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11
2373,4,161,9,0,12,2504,9,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,3,6
4072,5,35,6,2,5,2087,6,2,0,0,0,0,0,0,0,1,0,0,0,8,8,0,0,0,0,0,0,1,0,1,5
5955,4,8,7,0,12,877,7,2,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,0,7
3679,5,60,8,3,5,54,8,4,0,0,0,0,1,1,1,1,0,0,0,9,12,19,0,0,0,0,0,1,0,1,7
4552,5,308,6,0,12,129,6,3,0,0,0,1,0,1,1,1,0,0,0,9,12,19,0,0,,,,,,0,6
2753,5,120,6,5,12,941,6,4,0,0,0,0,0,0,1,1,0,0,0,0,13,20,0,0,0,0,0,1,0,0,6
6310,5,125,6,5,12,907,6,2,0,0,0,0,0,0,1,1,0,0,0,0,13,19,14,0,0,0,0,1,0,1,5
4804,4,8,6,0,12,157,6,1,0,0,0,0,0,1,1,0,1,,,,,,,,0,0,0,0,1,1,5
4240,5,40,6,1,12,311,6,3,0,0,0,0,0,0,1,1,0,0,0,10,13,0,0,0,,,,,,1,5
2036,4,8,9,0,12,813,9,4,0,0,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,1,8
5840,5,9,7,0,12,725,7,3,0,0,0,0,0,1,1,0,1,,,,,,,,0,0,0,0,0,1,6
2042,4,120,9,0,12,2664,9,7,0,1,0,0,0,1,0,1,0,0,0,10,13,20,0,0,,,,,,0,9
2722,4,63,6,0,12,2116,6,3,0,0,0,0,0,0,0,1,0,0,0,10,13,20,0,0,,,,,,0,6
860,4,8,6,0,12,2887,6,4,0,0,0,0,0,1,0,0,1,,,,,,,,0,0,0,0,0,0,6
6255,4,8,6,0,12,2810,6,2,0,0,0,0,0,1,0,0,1,,,,,,,,0,0,0,0,0,1,5
2465,3,90,12,1,5,2448,12,8,0,0,0,0,0,0,0,1,0,0,0,15,20,0,0,0,,,,,,0,12
5132,3,5,7,0,12,2314,7,1,0,0,0,0,0,1,0,0,1,,,,,,,,0,0,0,0,0,0,7
6022,3,5,7,0,12,2256,7,1,0,0,0,0,0,1,0,0,1,,,,,,,,0,0,0,0,1,0,7
4400,3,12,6,0,12,2472,6,2,0,0,0,0,0,0,0,1,0,6,10,12,12,12,12,5,,,,,,0,6
2901,5,18,6,4,5,3000,6,2,0,0,0,0,0,1,1,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6
3373,4,18,6,3,5,3005,6,3,0,0,0,0,0,1,1,1,0,0,0,0,12,0,14,0,,,,,,0,6
3430,5,72,8,3,6,921,8,5,0,0,0,0,1,0,0,1,0,0,0,9,9,0,0,0,0,0,0,0,0,1,7
1827,5,36,8,3,5,2963,8,6,0,0,0,0,0,1,1,1,0,0,0,9,12,0,0,0,0,0,0,0,0,2,6
612,4,18,7,3,5,3012,7,4,0,0,0,0,1,1,1,1,0,0,0,9,9,0,0,0,0,0,0,0,0,0,7
2114,5,54,6,3,5,2977,6,4,0,0,0,0,1,1,1,1,0,0,0,9,9,0,0,0,0,0,0,0,0,0,6
1712,5,36,6,3,5,2573,6,3,0,0,0,0,1,1,1,1,0,0,0,9,9,0,0,0,0,0,0,1,0,0,6
533,4,69,7,0,12,2417,7,4,0,0,0,0,0,0,0,1,0,0,0,10,13,20,0,0,,,,,,1,6
3085,5,18,6,4,5,2921,6,2,0,0,0,0,1,0,0,1,0,0,0,9,9,0,0,0,0,0,0,0,0,0,6
3809,5,36,10,3,5,3005,10,3,0,0,0,0,0,0,0,1,0,0,0,8,11,0,0,0,0,0,0,0,0,0,10
48,5,25,7,2,12,1125,7,2,0,0,0,0,0,0,1,1,0,0,0,9,12,19,0,0,,,,,,1,6
3509,5,8,6,0,12,2817,6,3,0,0,0,0,0,1,0,0,1,,,,,,,,0,0,0,0,1,0,6
3834,4,8,7,0,12,2783,7,3,0,0,0,0,0,1,0,0,1,,,,,,,,0,0,0,0,1,1,6
1120,5,36,6,3,5,2573,6,4,0,0,1,0,0,0,1,1,0,0,0,8,11,0,0,0,0,0,0,1,0,0,6
1862,5,20,6,3,5,86,6,2,0,0,0,1,0,0,1,1,0,0,0,10,13,0,0,0,,,,,,1,5
940,4,87,6,0,12,2492,6,4,0,0,0,0,0,0,1,1,0,0,0,10,13,20,0,0,,,,,,0,6
6474,3,72,8,0,12,1418,8,6,0,0,0,0,0,0,1,1,0,0,0,15,20,25,0,0,,,,,,0,8
1171,1,8,6,0,12,5007,6,2,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,0,6
1760,5,12,6,2,6,2665,6,1,1,0,0,0,0,0,1,1,0,0,0,9,12,19,0,0,0,0,0,0,0,0,6
5736,5,82,8,1,12,764,8,1,0,0,0,0,1,0,0,1,0,5,8,9,12,19,14,4,1,0,0,1,0,1,7
6422,3,12,6,0,12,2285,6,0,0,0,0,0,0,0,1,1,0,0,0,8,8,0,0,0,,,,,,1,5
1427,5,8,6,0,12,59,6,3,0,0,0,0,0,1,0,0,1,,,,,,,,0,0,0,0,0,1,5
5984,5,50,7,1,12,430,7,0,0,0,0,0,0,1,1,1,0,6,9,10,13,25,15,5,,,,,,1,6
2067,5,57,8,2,12,358,8,4,1,1,0,0,0,1,1,1,0,0,0,9,10,12,0,0,0,0,0,1,0,1,7
6236,3,12,7,0,12,87,7,0,0,0,0,0,0,0,0,1,0,0,0,10,13,20,0,0,,,,,,1,6
385,1,8,7,0,12,6738,7,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,0,7
4531,5,192,7,0,12,2776,7,2,1,0,0,0,0,0,0,1,0,0,0,10,13,20,0,0,0,0,0,0,0,0,7
2457,4,135,12,0,5,1215,12,5,0,0,0,0,0,0,1,1,0,0,0,10,13,0,0,0,,,,,,0,12
1836,3,8,8,1,12,1306,8,5,0,0,0,0,0,1,0,0,1,,,,,,,,0,0,0,0,1,2,6
2639,5,240,6,0,12,624,6,1,1,0,0,0,0,1,0,1,0,0,0,10,10,12,0,0,,,,,,0,6
106,1,233,6,3,6,6738,6,2,0,0,0,0,0,0,1,1,0,0,0,13,13,13,0,0,,,,,,0,6
1343,5,140,8,0,12,2424,8,5,0,0,0,0,1,1,1,1,0,0,0,15,20,25,0,0,,,,,,0,8
1946,5,199,15,0,12,575,15,8,0,0,0,0,0,0,1,1,0,0,0,10,13,20,0,0,0,0,0,0,0,0,15
4276,5,8,6,0,12,3293,6,4,0,0,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,1,5
4450,5,144,12,0,12,2455,12,5,1,0,0,0,0,0,1,1,0,0,0,10,13,0,0,0,,,,,,1,11
6135,4,146,8,0,12,79,8,3,0,1,0,0,0,1,0,1,0,0,0,15,20,25,0,0,0,0,0,0,0,1,7
5896,5,144,7,0,12,229,7,3,1,0,0,0,1,1,1,1,0,6,9,10,13,20,15,5,,,,,,3,4
3274,5,12,7,0,12,109,7,3,0,0,0,0,0,0,1,1,0,0,0,10,12,12,0,0,0,0,0,0,0,2,5
3557,3,175,7,0,12,3300,7,5,0,0,0,0,0,0,1,1,0,0,0,15,20,25,0,0,0,0,0,0,0,1,6
6477,5,150,9,0,12,3117,9,2,0,0,0,0,1,1,1,1,0,0,0,10,13,20,0,0,,,,,,0,9
2112,4,30,7,0,12,2474,7,5,0,0,0,0,0,0,0,1,0,5,9,10,13,20,15,5,0,0,0,0,0,1,6
3582,5,180,10,0,12,542,10,1,1,0,0,0,0,0,1,1,0,0,0,10,13,20,0,0,,,,,,0,10
6151,5,188,11,0,12,2602,11,4,0,0,0,0,1,0,0,1,0,6,9,10,13,20,15,5,0,0,0,1,0,2,9
2864,5,199,6,0,12,3229,6,4,0,0,0,0,0,1,0,1,0,0,0,10,13,15,0,0,,,,,,0,6
812,3,6,6,0,12,215,6,2,0,0,0,0,0,1,1,0,1,,,,,,,,0,0,0,0,0,0,6
2167,4,8,7,0,12,207,7,2,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,0,7
337,4,181,10,0,12,2892,10,6,0,0,0,0,0,0,1,1,0,0,0,15,20,25,0,0,,,,,,1,9
1054,1,8,6,0,12,6738,6,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,0,6
335,5,74,7,0,12,745,7,0,0,0,0,0,1,1,1,1,0,5,8,9,12,19,14,4,0,0,0,0,0,1,6
6466,4,161,8,0,12,351,8,3,0,0,0,0,0,1,1,1,0,6,9,10,13,20,15,5,,,,,,1,7
4878,4,30,7,0,2,2391,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,1,6
2899,5,59,7,1,12,555,7,0,0,0,0,0,1,1,1,1,0,0,0,9,12,19,0,0,0,0,0,0,0,0,7
2953,5,193,7,0,12,725,7,1,0,0,0,0,1,1,1,1,0,5,8,9,13,19,14,4,0,0,0,0,0,2,5
329,5,100,13,0,12,2314,13,4,1,0,0,0,0,0,1,1,0,0,0,10,13,20,0,0,,,,,,0,13
4111,3,5,6,0,12,1060,6,0,0,0,0,0,0,1,1,0,1,,,,,,,,0,0,0,0,0,0,6
238,5,8,6,0,12,129,6,2,0,1,0,0,0,1,0,0,1,,,,,,,,0,0,0,0,0,1,5
4866,5,190,10,0,12,425,10,7,0,0,0,0,0,0,1,1,0,0,0,10,13,20,0,0,,,,,,0,10
3921,5,113,10,0,12,2402,10,4,0,0,0,0,0,1,0,1,0,6,9,10,13,20,15,5,,,,,,0,10
3438,5,196,9,0,12,113,9,4,0,0,0,0,0,1,0,1,0,6,9,10,13,20,15,5,,,,,,0,9
5679,5,194,8,0,12,1146,8,4,0,0,0,0,0,1,1,1,0,6,9,10,13,20,15,5,,,,,,2,6
5677,4,8,6,0,12,2196,6,0,0,0,0,0,0,1,1,0,1,,,,,,,,,,,,,0,6
1197,5,136,6,0,12,2458,6,4,0,1,0,0,1,1,1,1,0,0,0,10,13,20,0,0,,,,,,0,6
4700,1,5,8,0,12,6738,8,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,2,6
1099,4,96,10,0,12,1782,10,4,0,0,0,0,0,0,0,1,0,0,0,10,13,20,0,0,,,,,,3,7
1797,4,120,7,2,12,2391,7,1,0,0,0,0,0,1,0,1,0,0,0,10,13,20,0,0,0,0,0,0,0,0,7
5208,4,110,10,0,12,26,10,3,0,0,0,0,0,1,0,1,0,0,0,10,13,0,0,0,,,,,,2,8
6008,5,199,10,0,12,201,10,3,0,0,0,1,1,0,0,1,0,0,8,9,12,19,14,0,,,,,,2,8
3528,5,140,7,3,5,248,7,2,1,0,0,1,1,1,0,1,0,6,9,10,13,0,15,5,,,,,,1,6
2707,3,250,13,0,12,758,13,5,0,1,0,0,0,1,0,1,0,6,9,10,13,20,15,5,,,,,,2,11
1150,3,8,6,0,12,96,6,1,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,0,6
3977,5,176,10,0,12,541,10,1,0,0,0,0,0,1,1,1,0,0,0,10,13,20,0,0,,,,,,0,10
5754,5,8,7,0,12,123,7,3,0,0,0,0,0,1,0,0,1,,,,,,,,0,0,0,0,0,1,6
5779,5,8,7,0,12,32,7,1,0,0,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,7
1567,4,8,7,0,12,834,7,0,0,0,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,7
3372,5,135,9,0,12,1390,9,5,0,0,0,0,1,0,0,1,0,0,0,12,12,0,0,0,,,,,,0,9
1882,5,80,7,0,12,758,7,3,0,0,0,0,0,1,0,1,0,0,0,9,12,19,0,0,0,0,0,0,0,0,7
1053,2,8,6,0,12,2392,6,0,0,1,0,0,0,1,0,0,1,,,,,,,,0,0,0,0,1,0,6
3824,4,8,8,0,12,386,8,3,0,0,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,8
6411,3,5,11,0,12,3285,11,6,0,0,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,2,9
4633,5,114,9,3,12,1016,9,4,0,0,0,0,1,1,0,1,0,0,0,9,12,19,0,0,,,,,,2,7
3769,5,210,17,0,12,362,17,8,0,0,0,0,0,1,1,1,0,0,0,10,13,20,0,0,,,,,,1,16
1320,2,5,8,0,12,34,8,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,0,8
2372,4,8,10,0,12,1346,10,4,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,2,8
948,5,148,11,1,12,152,11,4,1,0,0,1,1,0,1,1,0,0,0,10,13,19,0,0,,,,,,0,11
2815,5,40,6,3,12,2601,6,0,0,0,0,0,1,0,1,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6
4078,4,8,9,0,12,1118,9,2,0,0,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,9
278,5,90,10,0,12,501,10,4,0,0,0,0,0,0,0,1,0,0,0,9,12,19,0,0,0,1,0,0,0,2,8
5558,5,12,8,0,12,37,8,1,0,0,0,0,0,0,0,1,0,0,0,9,12,19,0,0,0,0,0,0,0,1,7
3539,3,172,20,0,12,869,20,6,0,0,0,0,0,1,1,1,0,0,0,15,20,25,0,0,,,,,,2,18
2572,4,134,7,0,12,2735,7,5,0,1,0,0,0,0,0,1,0,6,9,10,13,20,15,5,,,,,,0,7
6414,5,47,7,0,12,493,7,5,0,1,1,0,0,1,0,1,0,6,9,10,13,19,15,5,,,,,,0,7
4926,5,199,6,0,12,2041,6,4,0,0,0,0,0,1,0,1,0,0,0,10,13,20,0,0,0,0,0,0,0,0,6
