provider_id,qr_rating,provider_service_type,license_type,total_licensed_capacity,licensed_home_capacity,licensed_infant_capacity,licensed_toddler_capacity,licensed_preschool_capacity,licensed_school_age_capacity,licensed_preschool_and_school_age_capacity,licensed_resident_camp_capacity,licensed_nyo_capacity,capacity_on_site,license_age_days,school_district_operated_program,cccap_fa_status_d1,cccap_authorization_status,head_start,accepts_cccap_on_site,accepting_new_children,openings_infant,openings_toddler,openings_preschool,openings_school_age,hours_of_operation,operating_hours_per_week,licensed_to_serve,has_documented_complaint,has_documented_stage_ii,has_documented_injury_investigation,has_documented_adverse_action,language_amharic,language_arabic,language_chinese,language_english,language_farsi,language_french,language_german,language_hebrew,language_hindi,language_italian,language_japanese,language_other,language_portuguese,language_punjabi,language_russian,language_sign_language,language_spanish,language_tagalog,language_ukrainian,language_urdu,need_cognitive_delays,need_diabetes,need_food_dietary,need_medical_special_procedures,need_none,need_physical_delays_limitations,need_respiratory_illness,need_seizure_disorders,need_social_emotional_behaviors,need_speech_communication,need_willing_to_support,geo_county
1028,4,Child Care Center,Permanent,122.0,0.0,18.0,40.0,64.0,0.0,0.0,0.0,0.0,122.0,3253,False,False,False,False,False,True,0.0,0.0,0.0,0.0,Monday 7:00 AM 5:30 PM Tuesday 7:00 AM 5:30 PM Wednesday 7:00 AM 5:30 PM Thursday 7:00 AM 5:30 PM Friday 7:00 AM 5:30 PM,52.5,"Infants, Toddlers, Preschool",False,False,True,False,,,,English,,,,,,,,,,,,,,,,,Cognitive Delays,,Food/Dietary,Medical/Special Procedures,,Physical Delays/Limitations,Respiratory Illness,Seizure Disorders,Social Emotional Behaviors,Speech/Communication,Willing to Support,county_41
1142,1,Child Care Center,Permanent,96.0,0.0,19.0,25.0,52.0,0.0,0.0,0.0,0.0,96.0,3317,False,True,False,False,True,True,4.0,4.0,8.0,0.0,Monday 7:00 AM 6:00 PM Tuesday 7:00 AM 6:00 PM Wednesday 7:00 AM 6:00 PM Thursday 7:00 AM 6:00 PM Friday 7:00 AM 6:00 PM,55.0,"Infants, Toddlers, Preschool",False,False,False,False,,,,English,,,,,,,,,,,,,,,,,Cognitive Delays,,Food/Dietary,Medical/Special Procedures,,Physical Delays/Limitations,,,Social Emotional Behaviors,Speech/Communication,Willing to Support,county_41
1432,1,Child Care Center,Permanent,20.0,,,,0.0,,20.0,,,20.0,2565,False,False,False,False,False,True,0.0,0.0,8.0,0.0,other,37.0,Preschool,False,False,False,False,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,county_37
2188,1,Large Family Child Care Home,Permanent,12.0,12.0,0.0,0.0,,0.0,,0.0,0.0,12.0,3330,False,False,False,False,False,True,0.0,0.0,0.0,0.0,Monday 08:00 AM 04:00 PM Tuesday 08:00 AM 04:00 PM Wednesday 08:00 AM 04:00 PM Thursday 08:00 AM 04:00 PM Friday 08:00 AM 04:00 PM,40.0,Home,False,False,False,False,,,,English,,,,,,,,,,,,,,,,,Cognitive Delays,,Food/Dietary,Medical/Special Procedures,,,Respiratory Illness,,Social Emotional Behaviors,Speech/Communication,Willing to Support,county_41
3001,4,Child Care Center,Permanent,75.0,0.0,0.0,22.0,0.0,0.0,53.0,0.0,0.0,75.0,3296,False,True,True,False,True,True,0.0,0.0,0.0,0.0,Monday 07:00 AM 05:30 PM Tuesday 07:00 AM 05:30 PM Wednesday 07:00 AM 05:30 PM Thursday 07:00 AM 05:30 PM Friday 07:00 AM 05:30 PM,52.5,"Toddlers, Preschool",False,False,True,False,,,,English,,,,,,,,,,,,,Spanish,,,,,,,,,,,,Social Emotional Behaviors,,,county_1
1059,2,Experienced Family Child Care Home,Permanent,9.0,9.0,0.0,0.0,,0.0,,0.0,0.0,9.0,776,False,True,False,False,True,True,0.0,2.0,3.0,0.0,other,25.5,Home,False,False,False,False,,,,English,,,,,,,,,,,,,,,,,Cognitive Delays,,,,,,,,Social Emotional Behaviors,Speech/Communication,Willing to Support,county_18
4269,3,Child Care Center,Permanent,30.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,30.0,322,False,True,False,False,True,True,1.0,1.0,1.0,0.0,Monday 07:00 AM 05:30 PM Tuesday 07:00 AM 05:30 PM Wednesday 07:00 AM 05:30 PM Thursday 07:00 AM 05:30 PM Friday 07:00 AM 05:30 PM,52.5,"Infants, Toddlers, Mixed Preschool School Age",False,True,True,True,,,,English,,,,,,,,,,,,,,,,,,,Food/Dietary,,,Physical Delays/Limitations,,,,,Willing to Support,county_46
3498,4,Child Care Center,Permanent,40.0,,,,40.0,,0.0,,,40.0,3269,False,True,False,False,True,True,0.0,0.0,2.0,0.0,Monday 07:45 AM 02:15 PM Tuesday 07:45 AM 02:15 PM Wednesday 07:45 AM 02:15 PM Thursday 07:45 AM 02:15 PM Friday 07:45 AM 02:15 PM,32.5,Preschool,False,False,False,False,,,,English,,,,,,,,,,,,,,,,,Cognitive Delays,Diabetes,Food/Dietary,Medical/Special Procedures,,Physical Delays/Limitations,Respiratory Illness,Seizure Disorders,Social Emotional Behaviors,Speech/Communication,Willing to Support,county_41
900,1,Preschool Program,Permanent,32.0,,,,32.0,,0.0,,,32.0,3252,True,False,False,False,False,True,0.0,0.0,9.0,0.0,other,27.0,Preschool,True,False,False,False,,,,English,,,,,,,,,,,,,,,,,Cognitive Delays,Diabetes,Food/Dietary,Medical/Special Procedures,,Physical Delays/Limitations,Respiratory Illness,Seizure Disorders,Social Emotional Behaviors,Speech/Communication,Willing to Support,county_18
1515,4,Child Care Center,Permanent,60.0,,,,60.0,,0.0,,,60.0,3253,False,False,False,False,False,True,0.0,0.0,2.0,0.0,other,37.08,Preschool,False,False,True,False,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,county_1
248,4,Child Care Center,Permanent,40.0,,,,40.0,,0.0,,,40.0,3246,True,True,False,False,True,True,0.0,0.0,13.0,0.0,other,35.0,Preschool,False,False,False,False,,,,English,,,,,,,,,,,,,,,,,Cognitive Delays,Diabetes,Food/Dietary,Medical/Special Procedures,,Physical Delays/Limitations,Respiratory Illness,Seizure Disorders,Social Emotional Behaviors,Speech/Communication,Willing to Support,county_42
2440,1,Preschool Program,Permanent,32.0,,,,32.0,,0.0,,,32.0,3252,True,False,False,False,False,True,0.0,0.0,0.0,0.0,Monday 08:00 AM 03:00 PM Tuesday 08:00 AM 03:00 PM Wednesday 08:00 AM 03:00 PM Thursday 08:00 AM 03:00 PM Friday 08:00 AM 03:00 PM,35.0,Preschool,False,False,True,False,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,county_19
1387,1,Child Care Center,Permanent,45.0,,,,45.0,,0.0,,,45.0,3253,False,False,False,False,False,False,0.0,2.0,8.0,,Monday 8:00 AM 5:00 PM Tuesday 8:00 AM 5:00 PM Wednesday 8:00 AM 5:00 PM Thursday 8:00 AM 5:00 PM Friday 8:00 AM 5:00 PM,45.0,"Toddlers, Preschool",False,False,True,True,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,Social Emotional Behaviors,,Willing to Support,county_41
1016,2,Large Family Child Care Home,Permanent,12.0,12.0,0.0,0.0,,0.0,,0.0,0.0,12.0,659,False,False,False,False,False,True,0.0,0.0,0.0,0.0,other,38.0,Home,False,False,False,False,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,Social Emotional Behaviors,,,county_22
