provider_id,qr_rating,facility_type,licensed_capacity,num_visits,ages_served,age_min,age_max,license_age_days,special_features,amenity_accredited_by_a_national_organization,amenity_field_trips,amenity_home_pick_up,amenity_provides_care_for_head_start,amenity_provides_nc_pre_k,amenity_provides_transportation,amenity_will_enroll_children_with_special_needs,ratio_1_year_olds_children,ratio_2_year_olds_children,ratio_3_year_olds_children,ratio_4_year_olds_children,ratio_5_12_year_olds_children,ratio_5_year_old_pre_schoolers_children,ratio_infants_children,restriction_daytime_care_only,restriction_enhanced_requirements,restriction_no_cooking,restriction_reduced_ratios,restriction_serves_no_more_than_two,visits_announced_announced
1398,5,CCC,125,6,5 through 12,5,12,941,Additional Services & Amenities Will enroll children with special needs Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/0 Children 4 Year Olds 0 Adult(s)/0 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/19 Children,,,,,,,Will enroll children with special needs,0,0,0,0,19,0,0,,,,,,Announced
5085,5,CCC,125,8,5 through 12,5,12,907,other,,,,,,,Will enroll children with special needs,0,0,0,0,25,0,0,,,,reduced ratios,,Announced
3392,4,FCC,8,8,0 through 12,0,12,976,Additional Services & Amenities,,,,,,,,,,,,,,,,,,,,
248,5,CCC,277,16,0 through 12,0,12,2308,other,,Field Trips,,,Provides NC Pre-K,Provides transportation,Will enroll children with special needs,0,0,10,13,20,0,0,,,,,,Announced
1198,5,CCC,125,7,5 through 12,5,12,907,other,,,,,,Provides transportation,Will enroll children with special needs,0,0,0,0,19,0,0,,,,reduced ratios,,Announced
5403,5,CCC,155,8,5 through 12,5,12,907,other,,Field Trips,,,,,,0,0,0,0,19,0,0,,,,reduced ratios,,Announced
5485,5,CCC,130,6,5 through 12,5,12,326,other,,Field Trips,,,,,,0,0,0,0,19,0,0,,,,reduced ratios,,Announced
2873,5,CCC,125,7,5 through 12,5,12,941,other,,Field Trips,,,,,Will enroll children with special needs,0,0,0,0,19,0,0,,,,,,Announced
3432,5,CCC,121,8,5 through 12,5,12,941,other,,,,,,,,0,0,0,0,18,0,0,,,,reduced ratios,,Announced
454,4,CCC,178,28,0 through 12,0,12,1730,Additional Services & Amenities Provides transportation Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/10 Children 4 Year Olds 0 Adult(s)/13 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/15 Children,,,,,,Provides transportation,,0,0,10,13,15,0,0,,,,,,
1401,5,CCC,180,12,0 through 12,0,12,2951,other,,Field Trips,,,,Provides transportation,Will enroll children with special needs,0,0,0,0,0,0,0,,,,reduced ratios,,Announced
4102,5,CCC,125,9,5 through 12,5,12,941,other,,,,,,,Will enroll children with special needs,0,0,0,0,19,0,0,,,,reduced ratios,,Announced
5579,5,CCC,111,17,0 through 12,0,12,2557,other,,,,,Provides NC Pre-K,,,0,0,10,10,15,0,0,,,,,,Announced
946,5,CCC,36,8,0 through 12,0,12,984,other,,,,,,,,0,0,13,13,13,0,0,,,,,,Announced
4977,4,CCC,49,8,1 through 12,1,12,2283,other,,,,,,Provides transportation,Will enroll children with special needs,0,0,8,11,18,0,0,,,,reduced ratios,,
1709,3,FCC,10,7,0 through 12,0,12,134,Additional Services & Amenities Provides transportation,,,,,,Provides transportation,,,,,,,,,,,,,,
3175,5,CCC,157,23,0 through 12,0,12,533,Additional Services & Amenities Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/15 Children 4 Year Olds 0 Adult(s)/20 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/25 Children,,,,,,,,0,0,15,20,25,0,0,,,,,,Announced
1788,5,CCC,190,22,0 through 12,0,12,656,other,,,,,,Provides transportation,,0,0,9,12,14,0,0,,,,,,
1550,5,CCC,54,8,3 through 5,3,5,2376,other,,,,,Provides NC Pre-K,Provides transportation,,0,0,0,0,0,0,0,,,,,,Announced
3761,5,CCC,36,7,3 through 5,3,5,942,other,,,,,Provides NC Pre-K,Provides transportation,,0,0,0,0,0,0,0,,,,,,
4124,4,CCC,100,13,0 through 12,0,12,684,Additional Services & Amenities Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/0 Children 4 Year Olds 0 Adult(s)/0 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/0 Children,,,,,,,,0,0,0,0,0,0,0,,,,,,Announced
2373,4,CCC,161,9,0 through 12,0,12,2504,Additional Services & Amenities Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/0 Children 4 Year Olds 0 Adult(s)/0 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/0 Children,,,,,,,,0,0,0,0,0,0,0,,,,,,Announced
4072,5,CCC,35,6,2 through 5,2,5,2087,other,,,,,,,,0,0,8,8,0,0,0,,,,reduced ratios,,Announced
5955,4,FCC,8,7,0 through 12,0,12,877,Additional Services & Amenities Provides transportation,,,,,,Provides transportation,,,,,,,,,,,,,,
3679,5,CCC,60,8,3 through 5,3,5,54,Additional Services & Amenities Will enroll children with special needs Provides transportation Provides NC Pre-K Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/9 Children 4 Year Olds 0 Adult(s)/12 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/19 Children,,,,,Provides NC Pre-K,Provides transportation,Will enroll children with special needs,0,0,9,12,19,0,0,,,,reduced ratios,,Announced
4552,5,CCC,308,6,0 through 12,0,12,129,other,,,,Provides care for head start,,Provides transportation,Will enroll children with special needs,0,0,9,12,19,0,0,,,,,,
2753,5,CCC,120,6,5 through 12,5,12,941,Additional Services & Amenities Will enroll children with special needs Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/0 Children 4 Year Olds 0 Adult(s)/13 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/20 Children,,,,,,,Will enroll children with special needs,0,0,0,13,20,0,0,,,,reduced ratios,,
6310,5,CCC,125,6,5 through 12,5,12,907,other,,,,,,,Will enroll children with special needs,0,0,0,13,19,14,0,,,,reduced ratios,,Announced
4804,4,FCC,8,6,0 through 12,0,12,157,Additional Services & Amenities Will enroll children with special needs Provides transportation,,,,,,Provides transportation,Will enroll children with special needs,,,,,,,,,,,,serves no more than two,Announced
4240,5,CCC,40,6,1 through 12,1,12,311,Additional Services & Amenities Will enroll children with special needs Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/10 Children 4 Year Olds 0 Adult(s)/13 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/0 Children,,,,,,,Will enroll children with special needs,0,0,10,13,0,0,0,,,,,,Announced
2036,4,FCC,8,9,0 through 12,0,12,813,Additional Services & Amenities,,,,,,,,,,,,,,,,,,,,Announced
5840,5,FCC,9,7,0 through 12,0,12,725,Additional Services & Amenities Will enroll children with special needs Provides transportation,,,,,,Provides transportation,Will enroll children with special needs,,,,,,,,,,,,,Announced
2042,4,CCC,120,9,0 through 12,0,12,2664,Additional Services & Amenities Provides transportation Field Trips School Pick Up Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/10 Children 4 Year Olds 0 Adult(s)/13 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/20 Children,,Field Trips,,,,Provides transportation,,0,0,10,13,20,0,0,,,,,,
2722,4,CCC,63,6,0 through 12,0,12,2116,Additional Services & Amenities Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/10 Children 4 Year Olds 0 Adult(s)/13 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/20 Children,,,,,,,,0,0,10,13,20,0,0,,,,,,
860,4,FCC,8,6,0 through 12,0,12,2887,Additional Services & Amenities Provides transportation,,,,,,Provides transportation,,,,,,,,,,,,,,
6255,4,FCC,8,6,0 through 12,0,12,2810,Additional Services & Amenities Provides transportation,,,,,,Provides transportation,,,,,,,,,,,,,,Announced
2465,3,CCC,90,12,1 through 5,1,5,2448,Additional Services & Amenities Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/15 Children 4 Year Olds 0 Adult(s)/20 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/0 Children,,,,,,,,0,0,15,20,0,0,0,,,,,,
5132,3,FCC,5,7,0 through 12,0,12,2314,Additional Services & Amenities Provides transportation,,,,,,Provides transportation,,,,,,,,,,,,,,
6022,3,FCC,5,7,0 through 12,0,12,2256,Additional Services & Amenities Provides transportation,,,,,,Provides transportation,,,,,,,,,,,,,serves no more than two,
4400,3,CCC,12,6,0 through 12,0,12,2472,other,,,,,,,,6,10,12,12,12,12,5,,,,,,
2901,5,CCC,18,6,4 through 5,4,5,3000,other,,,,,,Provides transportation,Will enroll children with special needs,0,0,0,12,0,0,0,,,,,,
3373,4,CCC,18,6,3 through 5,3,5,3005,other,,,,,,Provides transportation,Will enroll children with special needs,0,0,0,12,0,14,0,,,,,,
3430,5,CCC,72,8,3 through 6,3,6,921,Additional Services & Amenities Provides NC Pre-K Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/9 Children 4 Year Olds 0 Adult(s)/9 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/0 Children,,,,,Provides NC Pre-K,,,0,0,9,9,0,0,0,,,,,,Announced
1827,5,CCC,36,8,3 through 5,3,5,2963,other,,,,,,Provides transportation,Will enroll children with special needs,0,0,9,12,0,0,0,,,,,,Announced
612,4,CCC,18,7,3 through 5,3,5,3012,Additional Services & Amenities Will enroll children with special needs Provides transportation Provides NC Pre-K Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/9 Children 4 Year Olds 0 Adult(s)/9 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/0 Children,,,,,Provides NC Pre-K,Provides transportation,Will enroll children with special needs,0,0,9,9,0,0,0,,,,,,
2114,5,CCC,54,6,3 through 5,3,5,2977,Additional Services & Amenities Will enroll children with special needs Provides transportation Provides NC Pre-K Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/9 Children 4 Year Olds 0 Adult(s)/9 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/0 Children,,,,,Provides NC Pre-K,Provides transportation,Will enroll children with special needs,0,0,9,9,0,0,0,,,,,,
1712,5,CCC,36,6,3 through 5,3,5,2573,Additional Services & Amenities Will enroll children with special needs Provides transportation Provides NC Pre-K Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/9 Children 4 Year Olds 0 Adult(s)/9 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/0 Children,,,,,Provides NC Pre-K,Provides transportation,Will enroll children with special needs,0,0,9,9,0,0,0,,,,reduced ratios,,
533,4,CCC,69,7,0 through 12,0,12,2417,other,,,,,,,,0,0,10,13,20,0,0,,,,,,Announced
3085,5,CCC,18,6,4 through 5,4,5,2921,other,,,,,Provides NC Pre-K,,,0,0,9,9,0,0,0,,,,,,
3809,5,CCC,36,10,3 through 5,3,5,3005,other,,,,,,,,0,0,8,11,0,0,0,,,,,,
48,5,CCC,25,7,2 through 12,2,12,1125,Additional Services & Amenities Will enroll children with special needs Staff/Child Ratio Policy Infants 0 Adult(s)/0 Children 1 Year Olds 0 Adult(s)/0 Children 2 Year Olds 0 Adult(s)/0 Children 3 Year Olds 0 Adult(s)/9 Children 4 Year Olds 0 Adult(s)/12 Children 5 Year Old Pre-schoolers 0 Adult(s)/0 Children 5-12 Year Olds 0 Adult(s)/19 Children,,,,,,,Will enroll children with special needs,0,0,9,12,19,0,0,,,,,,Announced
3509,5,FCC,8,6,0 through 12,0,12,2817,Additional Services & Amenities Provides transportation,,,,,,Provides transportation,,,,,,,,,,,,,serves no more than two,
3834,4,FCC,8,7,0 through 12,0,12,2783,Additional Services & Amenities Provides transportation,,,,,,Provides transportation,,,,,,,,,,,,,serves no more than two,Announced
