provider_id,qr_rating,special_needs_experience,has_accreditation,openings_capacity,openings_status,has_immediate_openings,openings_age_label,days_open,earliest_open,latest_close,weekly_hours,basics_language,basics_schedule,basics_meals,basics_subsidies_accepted,age_range,min_age_months,max_age_months,accred_national_association_for_the_education_of_young_children,lang_arabic,lang_chinese_cantonese,lang_chinese_mandarin,lang_chinese_other,lang_english,lang_farsi,lang_french,lang_hindi,lang_hmong,lang_japanese,lang_korean,lang_other,lang_punjabi,lang_russian,lang_sign_language,lang_somali,lang_spanish,lang_tagalog,lang_vietnamese,meal_am_snack,meal_breakfast,meal_child_care_food_program_ccfp,meal_dinner,meal_lunch,meal_pm_snack,sched_after_school,sched_before_school,sched_drop_in,sched_evening,sched_full_time,sched_full_year,sched_part_time,sched_rotating_schedule,sched_school_year_only,sched_seasonal,sched_summer_only,subsidy_accepts_subsidized_payment,subsidy_ca_state_preschool_program,subsidy_head_start,subsidy_other_child_care_and_development_program_funded_by_the_cde,subsidy_other_public_contract,tag_academic,tag_art_based,tag_bilingual,tag_child_development,tag_child_directed,tag_co_op,tag_constructivist,tag_covid_19_emergency_response_care,tag_developmentally_appropriate_practices,tag_high_scope,tag_homework_study_time,tag_kindergarten,tag_montessori,tag_no_pets,tag_other,tag_parent_involvement,tag_play_based,tag_playgroup,tag_potty_training,tag_pre_kindergarten_preschool,tag_project_based,tag_reggio_emilia,tag_religious,tag_special_needs,tag_subsidize,tag_virtual_distance_learning,transport_bus,transport_car,transport_walking,business_hours_fr_06_00_am_06_00_pm,business_hours_fr_06_30_am_06_00_pm,business_hours_fr_07_00_am_05_00_pm,business_hours_fr_07_00_am_05_30_pm,business_hours_fr_07_00_am_06_00_pm,business_hours_fr_07_30_am_05_30_pm,business_hours_fr_08_00_am_03_00_pm,business_hours_fr_08_00_am_11_00_am,business_hours_fr_08_30_am_11_30_am,business_hours_mo_06_00_am_06_00_pm,business_hours_mo_06_30_am_06_00_pm,business_hours_mo_07_00_am_05_00_pm,business_hours_mo_07_00_am_05_30_pm,business_hours_mo_07_00_am_06_00_pm,business_hours_mo_07_30_am_04_30_pm,business_hours_mo_07_30_am_05_30_pm,business_hours_mo_08_00_am_03_00_pm,business_hours_mo_08_00_am_04_00_pm,business_hours_mo_08_00_am_11_00_am,business_hours_mo_08_30_am_11_30_am,business_hours_other,business_hours_th_06_00_am_06_00_pm,business_hours_th_06_30_am_06_00_pm,business_hours_th_07_00_am_05_00_pm,business_hours_th_07_00_am_05_30_pm,business_hours_th_07_00_am_06_00_pm,business_hours_th_07_30_am_04_30_pm,business_hours_th_07_30_am_05_30_pm,business_hours_th_08_00_am_03_00_pm,business_hours_th_08_00_am_04_00_pm,business_hours_th_08_00_am_11_00_am,business_hours_th_08_30_am_11_30_am,business_hours_tu_06_00_am_06_00_pm,business_hours_tu_06_30_am_06_00_pm,business_hours_tu_07_00_am_05_00_pm,business_hours_tu_07_00_am_05_30_pm,business_hours_tu_07_00_am_06_00_pm,business_hours_tu_07_30_am_05_30_pm,business_hours_tu_08_00_am_03_00_pm,business_hours_tu_08_00_am_04_00_pm,business_hours_tu_08_00_am_11_00_am,business_hours_tu_08_30_am_11_30_am,business_hours_we_06_00_am_06_00_pm,business_hours_we_06_30_am_06_00_pm,business_hours_we_07_00_am_05_30_pm,business_hours_we_07_00_am_06_00_pm,business_hours_we_07_30_am_05_30_pm,business_hours_we_08_00_am_03_00_pm,business_hours_we_08_00_am_04_00_pm,business_hours_we_08_00_am_11_00_am,business_hours_we_08_30_am_11_30_am,meal_other
17890,4,0,0,27,Preschool (2 to 5 years)Contact provider for details,,2 to 5 years,5,420,1050,52.5,other,"Full Time, Full year","Breakfast, AM Snack, Lunch, PM Snack",Accepts Subsidized Payment,2 years - 5 years,24,60,,,Chinese (Cantonese),Chinese (Mandarin),,English,,,,,,,,,,,,Spanish,Tagalog,,AM Snack,Breakfast,,,Lunch,PM Snack,,,,,Full Time,Full year,,,,,,Accepts Subsidized Payment,,,,,Academic,,Bilingual,Child Development,,,,,,,,,,,,,,,Potty training,,,,,,,,Bus,,,,,,Fr 07:00 AM - 05:30 PM,,,,,,,,,Mo 07:00 AM - 05:30 PM,,,,,,,,,,,,Th 07:00 AM - 05:30 PM,,,,,,,,,,,Tu 07:00 AM - 05:30 PM,,,,,,,,,We 07:00 AM - 05:30 PM,,,,,,,
9221,3,1,0,100,Infants (0 to 23 months)Contact provider for details Preschool (2 to 5 years)Contact provider for details School Age (6 years and older)Contact provider for details,,0 to 23 months,5,420,1050,52.5,English,other,"Breakfast, Lunch, PM Snack, Child Care Food Program (CCFP)",Accepts Subsidized Payment,other,6,144,,,,,,English,,,,,,,,,,,,,,,,Breakfast,Child Care Food Program (CCFP),,Lunch,PM Snack,After School,,,,Full Time,Full year,Part time,,,,,Accepts Subsidized Payment,,,,,,,Bilingual,Child Development,,,,,,,,,,,,Parent Involvement,,,Potty training,Pre-kindergarten/Preschool,,,,,,,,Car,,,,,Fr 07:00 AM - 05:30 PM,,,,,,,,,Mo 07:00 AM - 05:30 PM,,,,,,,,,,,,Th 07:00 AM - 05:30 PM,,,,,,,,,,,Tu 07:00 AM - 05:30 PM,,,,,,,,,We 07:00 AM - 05:30 PM,,,,,,,
3025,4,1,0,35,Preschool (2 to 5 years)Contact provider for details,,2 to 5 years,5,540,1050,42.5,other,other,"AM Snack, PM Snack",Accepts Subsidized Payment,3 years - 5 years,36,60,,,,,,English,,,,,Japanese,,other,,,,,,,,AM Snack,,,,,PM Snack,After School,,,,Full Time,,Part time,,School year only,,,Accepts Subsidized Payment,,,,,Academic,,Bilingual,,,,,,,,,,,,,,,,,Pre-kindergarten/Preschool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19317,3,0,0,120,Preschool (2 to 5 years)Contact provider for details,,2 to 5 years,5,450,1050,50.0,English,"Full Time, Part time, Drop in, Before School, After School, Rotating Schedule, Full year, School year only, Summer only",Child Care Food Program (CCFP),Accepts Subsidized Payment,3 years - 5 years,36,60,,,,,,English,,,,,,,,,,,,,,,,,Child Care Food Program (CCFP),,,,After School,Before School,Drop in,,Full Time,Full year,Part time,Rotating Schedule,School year only,,Summer only,Accepts Subsidized Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fr 07:30 AM - 05:30 PM,,,,,,,,,,Mo 07:30 AM - 05:30 PM,,,,,,,,,,,,Th 07:30 AM - 05:30 PM,,,,,,,,,,Tu 07:30 AM - 05:30 PM,,,,,,,,,We 07:30 AM - 05:30 PM,,,,,
254,5,,0,48,Preschool (2 to 5 years)Contact provider for details,,2 to 5 years,5,495,675,15.0,"English, Spanish","Part time, School year only","Breakfast, Lunch, Child Care Food Program (CCFP)",CA State Preschool Program,3 years - 5 years,36,60,,,,,,English,,,,,,,,,,,,Spanish,,,,Breakfast,Child Care Food Program (CCFP),,Lunch,,,,,,,,Part time,,School year only,,,,CA State Preschool Program,,,,Academic,Art based,Bilingual,Child Development,Child Directed,,,COVID-19 Emergency Response Care,Developmentally Appropriate Practices,High Scope,Homework/Study time,Kindergarten,,,other,Parent Involvement,Play based,Playgroup,Potty training,Pre-kindergarten/Preschool,Project based,,,Special Needs,,Virtual/Distance Learning,,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6654,5,1,0,57,Preschool (2 to 5 years)Contact provider for details,,2 to 5 years,5,480,960,40.0,"English, Spanish, Other","Full Time, School year only","Breakfast, Lunch, PM Snack","Head Start, CA State Preschool Program, Accepts Subsidized Payment",3 years - 5 years,36,60,,,,,,English,,,,,,,other,,,,,Spanish,,,,Breakfast,,,Lunch,PM Snack,,,,,Full Time,,,,School year only,,,Accepts Subsidized Payment,CA State Preschool Program,Head Start,,,,,,,,,,,,,,,,,,,,,,,,,,Special Needs,Subsidize,,,,,,,,,,,,,,,,,,,,,,Mo 08:00 AM - 04:00 PM,,,other,,,,,,,,,Th 08:00 AM - 04:00 PM,,,,,,,,,,Tu 08:00 AM - 04:00 PM,,,,,,,,,We 08:00 AM - 04:00 PM,,,
6262,5,1,0,76,Preschool (2 to 5 years)Contact provider for details,,2 to 5 years,5,480,960,40.0,"English, Spanish","Full Time, School year only","Breakfast, AM Snack, Lunch, PM Snack","Head Start, CA State Preschool Program, Other Child Care and Development Program funded by the CDE, Accepts Subsidized Payment",2 years - 5 years,24,60,,,,,,English,,,,,,,,,,,,Spanish,,,AM Snack,Breakfast,,,Lunch,PM Snack,,,,,Full Time,,,,School year only,,,Accepts Subsidized Payment,CA State Preschool Program,Head Start,Other Child Care and Development Program funded by the CDE,,,,,,,,,,,,,,,,,,,,,,,,,Special Needs,Subsidize,,,,,,,,,,,,,,,,,,,,,,Mo 08:00 AM - 04:00 PM,,,other,,,,,,,,,Th 08:00 AM - 04:00 PM,,,,,,,,,,Tu 08:00 AM - 04:00 PM,,,,,,,,,We 08:00 AM - 04:00 PM,,,
7268,4,1,0,56,Preschool (2 to 5 years)Contact provider for details,,2 to 5 years,5,480,990,42.5,"English, Spanish, Tagalog","Full Time, School year only","Breakfast, AM Snack, Lunch, PM Snack","Head Start, Accepts Subsidized Payment",3 years - 5 years,36,60,,,,,,English,,,,,,,,,,,,Spanish,Tagalog,,AM Snack,Breakfast,,,Lunch,PM Snack,,,,,Full Time,,,,School year only,,,Accepts Subsidized Payment,,Head Start,,,,,,,,,,,,,,,,,,,,,,,,,,Special Needs,Subsidize,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8815,4,1,0,60,Preschool (2 to 5 years)Contact provider for details,,2 to 5 years,5,480,960,40.0,"English, Spanish","Full Time, School year only","Breakfast, AM Snack, Lunch, PM Snack","Head Start, Accepts Subsidized Payment",3 years - 5 years,36,60,,,,,,English,,,,,,,,,,,,Spanish,,,AM Snack,Breakfast,,,Lunch,PM Snack,,,,,Full Time,,,,School year only,,,Accepts Subsidized Payment,,Head Start,,,,,,,,,,,,,,,,,,,,,,,,,,Special Needs,Subsidize,,,,Walking,,,,,,,,,,,,,,,,,,Mo 08:00 AM - 04:00 PM,,,other,,,,,,,,,Th 08:00 AM - 04:00 PM,,,,,,,,,,Tu 08:00 AM - 04:00 PM,,,,,,,,,We 08:00 AM - 04:00 PM,,,
11147,4,1,0,47,Preschool (2 to 5 years)Contact provider for details,,2 to 5 years,5,450,990,45.0,"English, Spanish","Full Time, School year only","Breakfast, Lunch, PM Snack","Head Start, Accepts Subsidized Payment",other,24,36,,,,,,English,,,,,,,,,,,,Spanish,,,,Breakfast,,,Lunch,PM Snack,,,,,Full Time,,,,School year only,,,Accepts Subsidized Payment,,Head Start,,,,,,,,,,,,,,,,,,,,,,,,,,Special Needs,Subsidize,,,,Walking,,,,,,,,,,,,,,,Mo 07:30 AM - 04:30 PM,,,,,,other,,,,,,Th 07:30 AM - 04:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,
10508,4,1,0,64,Preschool (2 to 5 years)Contact provider for details,,2 to 5 years,5,480,930,37.5,"English, Spanish","Full Time, Part time, School year only","Breakfast, Lunch, PM Snack, Child Care Food Program (CCFP)","Head Start, CA State Preschool Program",2 years - 5 years,24,60,,,,,,English,,,,,,,,,,,,Spanish,,,,Breakfast,Child Care Food Program (CCFP),,Lunch,PM Snack,,,,,Full Time,,Part time,,School year only,,,,CA State Preschool Program,Head Start,,,,,,Child Development,Child Directed,,,,Developmentally Appropriate Practices,,,,,,,Parent Involvement,Play based,,Potty training,Pre-kindergarten/Preschool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18403,4,1,0,72,Infants (0 to 23 months)Contact provider for details Preschool (2 to 5 years)Contact provider for details,,0 to 23 months,5,510,870,30.0,other,"Full Time, Full year, School year only, Summer only","Car, Child Care Food Program (CCFP)","Head Start, Accepts Subsidized Payment",1 years - 5 years,12,60,,,,,Chinese (Other),English,,,Hindi,,,,other,,,,,Spanish,Tagalog,,,,Child Care Food Program (CCFP),,,,,,,,Full Time,Full year,,,School year only,,Summer only,Accepts Subsidized Payment,,Head Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bus,Car,Walking,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17109,4,1,0,50,Preschool (2 to 5 years)Contact provider for details,,2 to 5 years,5,510,975,38.75,other,"Part time, Full year, School year only, Summer only","Car, Child Care Food Program (CCFP)","Head Start, Accepts Subsidized Payment",2 years - 5 years,24,60,,Arabic,,,Chinese (Other),,Farsi,,,,,,other,,,,,,Tagalog,,,,Child Care Food Program (CCFP),,,,,,,,,Full year,Part time,,School year only,,Summer only,Accepts Subsidized Payment,,Head Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bus,Car,Walking,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18879,5,0,0,425,Preschool (2 to 5 years)Contact provider for details School Age (6 years and older)Contact provider for details,,2 to 5 years,5,450,1080,52.5,other,other,"AM Snack, Lunch, PM Snack, Child Care Food Program (CCFP)","CA State Preschool Program, Other Child Care and Development Program funded by the CDE, Accepts Subsidized Payment",other,24,132,,,,,Chinese (Other),English,,,,,,,,,,Sign Language,,Spanish,,,AM Snack,,Child Care Food Program (CCFP),,Lunch,PM Snack,After School,Before School,,,Full Time,Full year,Part time,,School year only,,,Accepts Subsidized Payment,CA State Preschool Program,,Other Child Care and Development Program funded by the CDE,,,,,Child Development,Child Directed,,,,Developmentally Appropriate Practices,,,,,,,,Play based,,,Pre-kindergarten/Preschool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,4,1,0,18,Preschool (2 to 5 years)Contact provider for details,,2 to 5 years,5,480,990,42.5,"English, Spanish","Full Time, Full year","Breakfast, Lunch, PM Snack, Child Care Food Program (CCFP)","Head Start, Accepts Subsidized Payment",3 years - 5 years,36,60,,,,,,English,,,,,,,,,,,,Spanish,,,,Breakfast,Child Care Food Program (CCFP),,Lunch,PM Snack,,,,,Full Time,Full year,,,,,,Accepts Subsidized Payment,,Head Start,,,,,Bilingual,Child Development,Child Directed,,,,Developmentally Appropriate Practices,,,,,,other,Parent Involvement,Play based,Playgroup,,,,,,Special Needs,,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3675,3,0,0,32,Preschool (2 to 5 years)Contact provider for details,,2 to 5 years,5,420,1110,57.5,English,"Full Time, Part time, Full year, School year only, Summer only","Breakfast, Lunch",Accepts Subsidized Payment,other,11,60,,,,,,English,,,,,,,,,,,,,,,,Breakfast,,,Lunch,,,,,,Full Time,Full year,Part time,,School year only,,Summer only,Accepts Subsidized Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18535,4,0,0,27,Preschool (2 to 5 years)Contact provider for details,,2 to 5 years,5,480,660,15.0,"English, Spanish","Part time, School year only",other,"CA State Preschool Program, Accepts Subsidized Payment",3 years - 5 years,36,60,,,,,,English,,,,,,,,,,,,Spanish,,,,Breakfast,Child Care Food Program (CCFP),,,PM Snack,,,,,,,Part time,,School year only,,,Accepts Subsidized Payment,CA State Preschool Program,,,,,,,,,,,,Developmentally Appropriate Practices,,,,,,,,,,,Pre-kindergarten/Preschool,,,,,,,,,,,,,,,,,Fr 08:00 AM - 11:00 AM,,,,,,,,,,,Mo 08:00 AM - 11:00 AM,,,,,,,,,,,,Th 08:00 AM - 11:00 AM,,,,,,,,,,Tu 08:00 AM - 11:00 AM,,,,,,,,,We 08:00 AM - 11:00 AM,,
12797,4,1,1,135,Infants (0 to 23 months)Contact provider for details Preschool (2 to 5 years)Contact provider for details,,0 to 23 months,5,450,1020,47.5,"English, Spanish","Full Time, Part time, Full year","Breakfast, Lunch, PM Snack, Child Care Food Program (CCFP)",,other,3,48,,,,,,English,,,,,,,,,,,,Spanish,,,,Breakfast,Child Care Food Program (CCFP),,Lunch,PM Snack,,,,,Full Time,Full year,Part time,,,,,,,,,,,,Bilingual,Child Development,Child Directed,,,,Developmentally Appropriate Practices,,,,,,,Parent Involvement,Play based,,,Pre-kindergarten/Preschool,,,,Special Needs,,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16636,5,1,0,50,Infants (0 to 23 months)Contact provider for details Preschool (2 to 5 years)Contact provider for details,,0 to 23 months,5,450,990,45.0,English,"Full Time, Part time, Full year","Breakfast, Lunch","CA State Preschool Program, Other Public Contract, Accepts Subsidized Payment",other,2,48,,,,,,English,,,,,,,,,,,,,,,,Breakfast,,,Lunch,,,,,,Full Time,Full year,Part time,,,,,Accepts Subsidized Payment,CA State Preschool Program,,,Other Public Contract,,,,,,,,,Developmentally Appropriate Practices,,,,Montessori,,,Parent Involvement,Play based,,,Pre-kindergarten/Preschool,,,,,,,Bus,,,,,,,,,,,,,,,,,Mo 07:30 AM - 04:30 PM,,,,,,other,,,,,,Th 07:30 AM - 04:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,
3227,4,0,0,14,Preschool (2 to 5 years)Contact provider for details,,2 to 5 years,,,,,English,"Full Time, Part time, School year only",Not provided,Accepts Subsidized Payment,2 years - 6 years,24,72,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,Full Time,,Part time,,School year only,,,Accepts Subsidized Payment,,,,,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10571,4,0,0,48,Preschool (2 to 5 years) Immediate Openings,1,2 to 5 years,5,480,900,35.0,"English, Spanish",Part time,"Breakfast, Lunch, Child Care Food Program (CCFP)",Accepts Subsidized Payment,2 years - 5 years,24,60,,,,,,English,,,,,,,,,,,,Spanish,,,,Breakfast,Child Care Food Program (CCFP),,Lunch,,,,,,,,Part time,,,,,Accepts Subsidized Payment,,,,,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fr 08:00 AM - 03:00 PM,,,,,,,,,,Mo 08:00 AM - 03:00 PM,,,,,,,,,,,,Th 08:00 AM - 03:00 PM,,,,,,,,,,Tu 08:00 AM - 03:00 PM,,,,,,,,,We 08:00 AM - 03:00 PM,,,,
4985,4,0,0,24,Preschool (2 to 5 years) Immediate Openings,1,2 to 5 years,5,480,900,35.0,English,Part time,"Breakfast, Lunch, Child Care Food Program (CCFP)",Accepts Subsidized Payment,0 months - 11 months,0,11,,,,,,English,,,,,,,,,,,,,,,,Breakfast,Child Care Food Program (CCFP),,Lunch,,,,,,,,Part time,,,,,Accepts Subsidized Payment,,,,,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fr 08:00 AM - 03:00 PM,,,,,,,,,,Mo 08:00 AM - 03:00 PM,,,,,,,,,,,,Th 08:00 AM - 03:00 PM,,,,,,,,,,Tu 08:00 AM - 03:00 PM,,,,,,,,,We 08:00 AM - 03:00 PM,,,,
16740,5,0,0,22,Preschool (2 to 5 years) Immediate Openings,1,2 to 5 years,5,480,900,35.0,"English, Spanish",Part time,"Breakfast, Lunch, Child Care Food Program (CCFP)",Accepts Subsidized Payment,0 months - 11 months,0,11,,,,,,English,,,,,,,,,,,,Spanish,,,,Breakfast,Child Care Food Program (CCFP),,Lunch,,,,,,,,Part time,,,,,Accepts Subsidized Payment,,,,,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fr 08:00 AM - 03:00 PM,,,,,,,,,,Mo 08:00 AM - 03:00 PM,,,,,,,,,,,,Th 08:00 AM - 03:00 PM,,,,,,,,,,Tu 08:00 AM - 03:00 PM,,,,,,,,,We 08:00 AM - 03:00 PM,,,,
15983,4,0,0,22,Preschool (2 to 5 years) Immediate Openings,1,2 to 5 years,5,450,990,45.0,"English, Spanish",other,other,"Head Start, Accepts Subsidized Payment",3 years - 5 years,36,60,,,,,,English,,,,,,,,,,,,Spanish,,,AM Snack,Breakfast,,,,,After School,Before School,,,,Full year,Part time,,,,,Accepts Subsidized Payment,,Head Start,,,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo 07:30 AM - 04:30 PM,,,,,,other,,,,,,Th 07:30 AM - 04:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,
3607,5,0,0,24,Preschool (2 to 5 years)No Openings,0,2 to 5 years,5,360,1080,60.0,English,"Full Time, Full year",Not provided,Accepts Subsidized Payment,3 years - 5 years,36,60,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,Full Time,Full year,,,,,,Accepts Subsidized Payment,,,,,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fr 06:00 AM - 06:00 PM,,,,,,,,,Mo 06:00 AM - 06:00 PM,,,,,,,,,,,,Th 06:00 AM - 06:00 PM,,,,,,,,,,,Tu 06:00 AM - 06:00 PM,,,,,,,,,,We 06:00 AM - 06:00 PM,,,,,,,,,
17780,5,0,0,24,Preschool (2 to 5 years) Immediate Openings,1,2 to 5 years,5,450,960,42.5,"English, Spanish","Part time, Full year","Breakfast, Lunch","Head Start, Accepts Subsidized Payment",0 months - 11 months,0,11,,,,,,English,,,,,,,,,,,,Spanish,,,,Breakfast,,,Lunch,,,,,,,Full year,Part time,,,,,Accepts Subsidized Payment,,Head Start,,,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6524,5,0,0,24,Preschool (2 to 5 years) Immediate Openings,1,2 to 5 years,5,480,900,35.0,English,Part time,Not provided,Accepts Subsidized Payment,0 months - 11 months,0,11,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,Part time,,,,,Accepts Subsidized Payment,,,,,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fr 08:00 AM - 03:00 PM,,,,,,,,,,Mo 08:00 AM - 03:00 PM,,,,,,,,,,,,Th 08:00 AM - 03:00 PM,,,,,,,,,,Tu 08:00 AM - 03:00 PM,,,,,,,,,We 08:00 AM - 03:00 PM,,,,
14399,4,0,0,24,Preschool (2 to 5 years) Immediate Openings,1,2 to 5 years,5,480,900,35.0,"English, Spanish",Part time,"Breakfast, Lunch, Child Care Food Program (CCFP)",Accepts Subsidized Payment,3 years - 5 years,36,60,,,,,,English,,,,,,,,,,,,Spanish,,,,Breakfast,Child Care Food Program (CCFP),,Lunch,,,,,,,,Part time,,,,,Accepts Subsidized Payment,,,,,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fr 08:00 AM - 03:00 PM,,,,,,,,,,Mo 08:00 AM - 03:00 PM,,,,,,,,,,,,Th 08:00 AM - 03:00 PM,,,,,,,,,,Tu 08:00 AM - 03:00 PM,,,,,,,,,We 08:00 AM - 03:00 PM,,,,
194,4,0,0,23,Preschool (2 to 5 years) Immediate Openings,1,2 to 5 years,5,450,990,45.0,English,"Full Time, Full year",Not provided,Accepts Subsidized Payment,3 years - 5 years,36,60,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,Full Time,Full year,,,,,,Accepts Subsidized Payment,,,,,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo 07:30 AM - 04:30 PM,,,,,,other,,,,,,Th 07:30 AM - 04:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,
4191,4,0,0,24,Preschool (2 to 5 years)No Openings,0,2 to 5 years,5,450,990,45.0,English,"Full Time, Full year",Not provided,Accepts Subsidized Payment,3 years - 5 years,36,60,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,Full Time,Full year,,,,,,Accepts Subsidized Payment,,,,,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo 07:30 AM - 04:30 PM,,,,,,other,,,,,,Th 07:30 AM - 04:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,
9315,4,0,0,24,Preschool (2 to 5 years) Immediate Openings,1,2 to 5 years,5,480,900,35.0,"English, Spanish",Part time,"Breakfast, Lunch, Child Care Food Program (CCFP)",Accepts Subsidized Payment,0 months - 11 months,0,11,,,,,,English,,,,,,,,,,,,Spanish,,,,Breakfast,Child Care Food Program (CCFP),,Lunch,,,,,,,,Part time,,,,,Accepts Subsidized Payment,,,,,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fr 08:00 AM - 03:00 PM,,,,,,,,,,Mo 08:00 AM - 03:00 PM,,,,,,,,,,,,Th 08:00 AM - 03:00 PM,,,,,,,,,,Tu 08:00 AM - 03:00 PM,,,,,,,,,We 08:00 AM - 03:00 PM,,,,
6703,4,0,0,24,Preschool (2 to 5 years)No Openings,0,2 to 5 years,5,480,900,35.0,"English, Spanish",Part time,"Breakfast, Lunch, Child Care Food Program (CCFP)",Accepts Subsidized Payment,3 years - 5 years,36,60,,,,,,English,,,,,,,,,,,,Spanish,,,,Breakfast,Child Care Food Program (CCFP),,Lunch,,,,,,,,Part time,,,,,Accepts Subsidized Payment,,,,,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fr 08:00 AM - 03:00 PM,,,,,,,,,,Mo 08:00 AM - 03:00 PM,,,,,,,,,,,,Th 08:00 AM - 03:00 PM,,,,,,,,,,Tu 08:00 AM - 03:00 PM,,,,,,,,,We 08:00 AM - 03:00 PM,,,,
8753,3,0,0,48,Preschool (2 to 5 years)No Openings,0,2 to 5 years,5,495,960,38.75,"English, Spanish","Full Time, School year only","AM Snack, Lunch, PM Snack",Accepts Subsidized Payment,2 years - 5 years,24,60,,,,,,English,,,,,,,,,,,,Spanish,,,AM Snack,,,,Lunch,PM Snack,,,,,Full Time,,,,School year only,,,Accepts Subsidized Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6220,4,1,0,116,Preschool (2 to 5 years)Contact provider for details,,2 to 5 years,5,405,1050,53.75,"English, Spanish",other,"Breakfast, AM Snack, Lunch, PM Snack, Child Care Food Program (CCFP)",Accepts Subsidized Payment,2 years - 5 years,24,60,,,,,,English,,,,,,,,,,,,Spanish,,,AM Snack,Breakfast,Child Care Food Program (CCFP),,Lunch,PM Snack,,,Drop in,Evening,Full Time,Full year,Part time,Rotating Schedule,School year only,,Summer only,Accepts Subsidized Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19160,4,1,0,56,Preschool (2 to 5 years)Contact provider for details,,2 to 5 years,5,1170,2490,110.0,"English, Spanish",other,"Breakfast, AM Snack, Lunch, PM Snack, Child Care Food Program (CCFP)",Accepts Subsidized Payment,2 years - 5 years,24,60,,,,,,English,,,,,,,,,,,,Spanish,,,AM Snack,Breakfast,Child Care Food Program (CCFP),,Lunch,PM Snack,After School,Before School,,,Full Time,Full year,Part time,Rotating Schedule,School year only,,Summer only,Accepts Subsidized Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
