provider_id,qr_rating,special_needs_experience,has_accreditation,openings_capacity,openings_status,has_immediate_openings,openings_age_label,days_open,earliest_open,latest_close,weekly_hours,basics_language,basics_schedule,basics_meals,basics_subsidies_accepted,age_range,min_age_months,max_age_months,accred_national_association_for_the_education_of_young_children,lang_arabic,lang_chinese_cantonese,lang_chinese_mandarin,lang_chinese_other,lang_english,lang_farsi,lang_french,lang_hindi,lang_hmong,lang_japanese,lang_korean,lang_other,lang_punjabi,lang_russian,lang_sign_language,lang_somali,lang_spanish,lang_tagalog,lang_vietnamese,meal_am_snack,meal_breakfast,meal_child_care_food_program_ccfp,meal_dinner,meal_lunch,meal_pm_snack,sched_after_school,sched_before_school,sched_drop_in,sched_evening,sched_full_time,sched_full_year,sched_part_time,sched_rotating_schedule,sched_school_year_only,sched_seasonal,sched_summer_only,subsidy_accepts_subsidized_payment,subsidy_ca_state_preschool_program,subsidy_head_start,subsidy_other_child_care_and_development_program_funded_by_the_cde,subsidy_other_public_contract,tag_academic,tag_art_based,tag_bilingual,tag_child_development,tag_child_directed,tag_co_op,tag_constructivist,tag_covid_19_emergency_response_care,tag_developmentally_appropriate_practices,tag_high_scope,tag_homework_study_time,tag_kindergarten,tag_montessori,tag_no_pets,tag_other,tag_parent_involvement,tag_play_based,tag_playgroup,tag_potty_training,tag_pre_kindergarten_preschool,tag_project_based,tag_reggio_emilia,tag_religious,tag_special_needs,tag_subsidize,tag_virtual_distance_learning,transport_bus,transport_car,transport_walking,business_hours_fr_06_00_am_06_00_pm,business_hours_fr_06_30_am_06_00_pm,business_hours_fr_07_00_am_05_00_pm,business_hours_fr_07_00_am_05_30_pm,business_hours_fr_07_00_am_06_00_pm,business_hours_fr_07_30_am_05_30_pm,business_hours_fr_08_00_am_03_00_pm,business_hours_fr_08_00_am_11_00_am,business_hours_fr_08_30_am_11_30_am,business_hours_mo_06_00_am_06_00_pm,business_hours_mo_06_30_am_06_00_pm,business_hours_mo_07_00_am_05_00_pm,business_hours_mo_07_00_am_05_30_pm,business_hours_mo_07_00_am_06_00_pm,business_hours_mo_07_30_am_04_30_pm,business_hours_mo_07_30_am_05_30_pm,business_hours_mo_08_00_am_03_00_pm,business_hours_mo_08_00_am_04_00_pm,business_hours_mo_08_00_am_11_00_am,business_hours_mo_08_30_am_11_30_am,business_hours_other,business_hours_th_06_00_am_06_00_pm,business_hours_th_06_30_am_06_00_pm,business_hours_th_07_00_am_05_00_pm,business_hours_th_07_00_am_05_30_pm,business_hours_th_07_00_am_06_00_pm,business_hours_th_07_30_am_04_30_pm,business_hours_th_07_30_am_05_30_pm,business_hours_th_08_00_am_03_00_pm,business_hours_th_08_00_am_04_00_pm,business_hours_th_08_00_am_11_00_am,business_hours_th_08_30_am_11_30_am,business_hours_tu_06_00_am_06_00_pm,business_hours_tu_06_30_am_06_00_pm,business_hours_tu_07_00_am_05_00_pm,business_hours_tu_07_00_am_05_30_pm,business_hours_tu_07_00_am_06_00_pm,business_hours_tu_07_30_am_05_30_pm,business_hours_tu_08_00_am_03_00_pm,business_hours_tu_08_00_am_04_00_pm,business_hours_tu_08_00_am_11_00_am,business_hours_tu_08_30_am_11_30_am,business_hours_we_06_00_am_06_00_pm,business_hours_we_06_30_am_06_00_pm,business_hours_we_07_00_am_05_30_pm,business_hours_we_07_00_am_06_00_pm,business_hours_we_07_30_am_05_30_pm,business_hours_we_08_00_am_03_00_pm,business_hours_we_08_00_am_04_00_pm,business_hours_we_08_00_am_11_00_am,business_hours_we_08_30_am_11_30_am,meal_other
16290,4,1,0,26,Infants (0 to 23 months)Contact provider for details Preschool (2 to 5 years)Contact provider for details,,0 to 23 months,5,420,1020,50.0,other,"Full Time, Part time, School year only","Breakfast, AM Snack, Lunch, PM Snack","Head Start, Accepts Subsidized Payment",other,1,36,,,,,,English,Farsi,,,,,,other,,,,,Spanish,,,AM Snack,Breakfast,,,Lunch,PM Snack,,,,,Full Time,,Part time,,School year only,,,Accepts Subsidized Payment,,Head Start,,,,,,Child Development,,,,,,,,,,,,,,,,Pre-kindergarten/Preschool,,,,Special Needs,Subsidize,,,,,,,Fr 07:00 AM - 05:00 PM,,,,,,,,,Mo 07:00 AM - 05:00 PM,,,,,,,,,other,,,Th 07:00 AM - 05:00 PM,,,,,,,,,,,Tu 07:00 AM - 05:00 PM,,,,,,,,,,,,,,,,,
18969,5,1,0,26,Infants (0 to 23 months)Contact provider for details Preschool (2 to 5 years)Contact provider for details,,0 to 23 months,5,450,900,37.5,other,"Full Time, Part time, School year only","Breakfast, Lunch, PM Snack","Head Start, Accepts Subsidized Payment",other,1,36,,Arabic,Chinese (Cantonese),Chinese (Mandarin),,English,Farsi,French,,,,,,,,Sign Language,,Spanish,Tagalog,Vietnamese,,Breakfast,,,Lunch,PM Snack,,,,,Full Time,,Part time,,School year only,,,Accepts Subsidized Payment,,Head Start,,,,,,Child Development,,,,,,,,,,,,,,,,,,,,Special Needs,Subsidize,,,Car,Walking,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13532,4,1,0,71,Infants (0 to 23 months)Contact provider for details Preschool (2 to 5 years)Contact provider for details,,0 to 23 months,5,450,1020,47.5,"English, Spanish","Full Time, School year only","Breakfast, Lunch, PM Snack, Child Care Food Program (CCFP)","Head Start, CA State Preschool Program, Accepts Subsidized Payment",1 months - 5 years,1,60,,,,,,English,,,,,,,,,,,,Spanish,,,,Breakfast,Child Care Food Program (CCFP),,Lunch,PM Snack,,,,,Full Time,,,,School year only,,,Accepts Subsidized Payment,CA State Preschool Program,Head Start,,,,,,Child Development,,,,,,,,,,,,,,,,Pre-kindergarten/Preschool,,,,Special Needs,Subsidize,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7261,5,1,0,24,Preschool (2 to 5 years)Contact provider for details,,2 to 5 years,,,,,"English, Spanish","Part time, School year only","AM Snack, PM Snack, Child Care Food Program (CCFP)",Accepts Subsidized Payment,3 years - 5 years,36,60,,,,,,English,,,,,,,,,,,,Spanish,,,AM Snack,,Child Care Food Program (CCFP),,,PM Snack,,,,,,,Part time,,School year only,,,Accepts Subsidized Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7858,4,1,0,60,Infants (0 to 23 months)Contact provider for details Preschool (2 to 5 years)Contact provider for details,,0 to 23 months,5,450,990,45.0,other,"Full Time, Part time, Full year","Breakfast, AM Snack, Lunch, PM Snack","CA State Preschool Program, Other Child Care and Development Program funded by the CDE",1 years - 5 years,12,60,,,,,,English,Farsi,,Hindi,,,,,,Russian,,,Spanish,,,AM Snack,Breakfast,,,Lunch,PM Snack,,,,,Full Time,Full year,Part time,,,,,,CA State Preschool Program,,Other Child Care and Development Program funded by the CDE,,,,,Child Development,,,,,Developmentally Appropriate Practices,,,,,,,,Play based,,Potty training,Pre-kindergarten/Preschool,,,,,,,,,,,,,,,,,,,,,,,,Mo 07:30 AM - 04:30 PM,,,,,,other,,,,,,Th 07:30 AM - 04:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,
6201,2,1,0,237,other,0,0 to 23 months,5,420,1080,55.0,"English, Spanish",other,"AM Snack, Lunch, PM Snack",Accepts Subsidized Payment,0 months - 11 months,0,11,,,,,,English,,,,,,,,,,,,Spanish,,,AM Snack,,,,Lunch,PM Snack,After School,Before School,,,Full Time,Full year,Part time,,School year only,,,Accepts Subsidized Payment,,,,,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fr 07:00 AM - 06:00 PM,,,,,,,,,Mo 07:00 AM - 06:00 PM,,,,,,,,,,,,Th 07:00 AM - 06:00 PM,,,,,,,,,,,Tu 07:00 AM - 06:00 PM,,,,,,,,,We 07:00 AM - 06:00 PM,,,,,,
12497,4,0,0,96,Infants (0 to 23 months)Contact provider for details Preschool (2 to 5 years)Contact provider for details,,0 to 23 months,5,360,1080,60.0,"English, Spanish","Full Time, Part time, Full year","AM Snack, Lunch, PM Snack","Head Start, CA State Preschool Program, Other Child Care and Development Program funded by the CDE, Accepts Subsidized Payment",0 months - 5 years,0,60,,,,,,English,,,,,,,,,,,,Spanish,,,AM Snack,,,,Lunch,PM Snack,,,,,Full Time,Full year,Part time,,,,,Accepts Subsidized Payment,CA State Preschool Program,Head Start,Other Child Care and Development Program funded by the CDE,,,,,,,,,,,,,,,,,,,,,Pre-kindergarten/Preschool,,,,,,,,,,Fr 06:00 AM - 06:00 PM,,,,,,,,,Mo 06:00 AM - 06:00 PM,,,,,,,,,,,,Th 06:00 AM - 06:00 PM,,,,,,,,,,,Tu 06:00 AM - 06:00 PM,,,,,,,,,,We 06:00 AM - 06:00 PM,,,,,,,,,
12528,5,1,0,24,Preschool (2 to 5 years)Contact provider for details,,2 to 5 years,5,480,660,15.0,"English, Spanish","Part time, School year only","AM Snack, PM Snack, Child Care Food Program (CCFP)",Accepts Subsidized Payment,3 years - 5 years,36,60,,,,,,English,,,,,,,,,,,,Spanish,,,AM Snack,,Child Care Food Program (CCFP),,,PM Snack,,,,,,,Part time,,School year only,,,Accepts Subsidized Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bus,,,,,,,,,,Fr 08:00 AM - 11:00 AM,,,,,,,,,,,Mo 08:00 AM - 11:00 AM,,,,,,,,,,,,Th 08:00 AM - 11:00 AM,,,,,,,,,,Tu 08:00 AM - 11:00 AM,,,,,,,,,We 08:00 AM - 11:00 AM,,
2067,5,0,0,94,Preschool (2 to 5 years)Contact provider for details School Age (6 years and older)Contact provider for details,,2 to 5 years,5,390,1080,57.5,"English, Spanish",other,"Breakfast, AM Snack, Lunch, PM Snack, Child Care Food Program (CCFP)",Accepts Subsidized Payment,3 years - 12 years,36,144,,,,,,English,,,,,,,,,,,,Spanish,,,AM Snack,Breakfast,Child Care Food Program (CCFP),,Lunch,PM Snack,,Before School,Drop in,,Full Time,Full year,Part time,,School year only,,Summer only,Accepts Subsidized Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fr 06:30 AM - 06:00 PM,,,,,,,,,Mo 06:30 AM - 06:00 PM,,,,,,,,,,,,Th 06:30 AM - 06:00 PM,,,,,,,,,,,Tu 06:30 AM - 06:00 PM,,,,,,,,,,We 06:30 AM - 06:00 PM,,,,,,,,
10767,2,0,0,106,Infants (0 to 23 months)Contact provider for details Preschool (2 to 5 years)Contact provider for details School Age (6 years and older)Contact provider for details,,0 to 23 months,5,360,1080,60.0,English,"Full Time, Part time, Before School, After School, Full year, School year only, Summer only","AM Snack, Lunch, PM Snack",Accepts Subsidized Payment,1 months - 12 years,1,144,,,,,,English,,,,,,,,,,,,,,,AM Snack,,,,Lunch,PM Snack,After School,Before School,,,Full Time,Full year,Part time,,School year only,,Summer only,Accepts Subsidized Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bus,,,Fr 06:00 AM - 06:00 PM,,,,,,,,,Mo 06:00 AM - 06:00 PM,,,,,,,,,,,,Th 06:00 AM - 06:00 PM,,,,,,,,,,,Tu 06:00 AM - 06:00 PM,,,,,,,,,,We 06:00 AM - 06:00 PM,,,,,,,,,
