provider_id,qr_rating,has_license_number,dhhs_matched,program_type,capacity,full_time_staff,part_time_staff,num_accreditations,dhhs_license_type,dhhs_capacity,dhhs_ages_from,dhhs_ages_to,dhhs_age_from_months,dhhs_age_to_months,dhhs_days_open,dhhs_days_open_count,dhhs_hours_from,dhhs_hours_to,dhhs_hours_from_minutes,dhhs_hours_to_minutes,dhhs_hours_open_minutes,dhhs_issue_year,accreditation_name,age_infants,age_preschool,age_school_age,age_toddlers,day_friday,day_monday,day_saturday,day_sunday,day_thursday,day_tuesday,day_wednesday,info_accepts_child_care_subsidy,info_serves_children_with_special_needs,geo_county
2809,1,True,True,Family Child Care Home,10.0,1.0,,0,Family Child Care Home I,10,6 WKS,13 YRS,1.38,156.0,MTWTHFSSU,7,0000,2400,0.0,1440.0,1440.0,2021,,Infants,Preschool,School Age,Toddlers,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_33
1650,1,True,True,Child Care Center,115.0,15.0,4.0,0,Child Care Center,115,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0700,1730,420.0,1050.0,630.0,2017,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_16
2743,2,True,True,Family Child Care Home,12.0,4.0,3.0,0,Family Child Care Home II,12,6 WKS,12 YRS,1.38,144.0,MTWTHF,5,0600,1800,360.0,1080.0,720.0,2004,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_35
3184,2,True,True,Family Child Care Home,12.0,4.0,3.0,0,Family Child Care Home II,12,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0730,1730,450.0,1050.0,600.0,2023,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_35
1008,2,True,True,Family Child Care Home,9.0,1.0,,0,Family Child Care Home I,9,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0700,1800,420.0,1080.0,660.0,2024,,Infants,,,,Friday,Monday,,,Thursday,Tuesday,Wednesday,,,county_33
3104,3,True,True,Public School,55.0,8.0,9.0,0,Child Care Center,55,3 YRS,6 YRS,36.0,72.0,MTWTHF,5,other,1730,440.0,1050.0,610.0,2024,,,Preschool,,,Friday,Monday,,,Thursday,Tuesday,Wednesday,,Serves children with special needs,county_31
3010,1,True,True,Child Care Center,60.0,15.0,3.0,0,Child Care Center,60,6 WKS,13 YRS,1.38,156.0,MTWTHFS,6,0530,2330,330.0,1410.0,1080.0,2024,,Infants,Preschool,School Age,Toddlers,Friday,Monday,Saturday,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_16
803,3,False,False,Head Start,,33.0,3.0,0,,,,,,,,,,,,,,,,,Preschool,,,,,,,,,,,Serves children with special needs,
1232,2,True,True,Family Child Care Home,12.0,1.0,1.0,0,Provisional Family Child Care Home II,12,6 WKS,13 YRS,1.38,156.0,MTWTHFSSU,7,0000,2400,0.0,1440.0,1440.0,2025,,Infants,Preschool,School Age,Toddlers,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_1
3252,3,True,True,Child Care Center,40.0,8.0,1.0,0,Child Care Center,40,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0630,1800,390.0,1080.0,690.0,2011,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,,county_16
2761,2,True,True,Child Care Center,85.0,15.0,5.0,0,Child Care Center,85,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0600,1800,360.0,1080.0,720.0,2012,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,,county_16
870,2,True,True,Child Care Center,75.0,3.0,,0,Provisional Child Care Center,75,6 WKS,13 YRS,1.38,156.0,MTWRF,5,0600,1800,360.0,1080.0,720.0,2024,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_15
2077,2,True,True,Child Care Center,50.0,7.0,6.0,0,Child Care Center,50,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0630,1800,390.0,1080.0,690.0,2014,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_16
3227,2,True,True,Child Care Center,61.0,6.0,3.0,0,Child Care Center,61,6 WKS,12 YRS,1.38,144.0,MTWTHF,5,0600,1800,360.0,1080.0,720.0,2019,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,,county_16
3120,1,True,True,Child Care Center,39.0,4.0,1.0,0,Child Care Center,39,6 WKS,13 YRS,1.38,156.0,MTWTHFSSU,7,0000,2400,0.0,1440.0,1440.0,2022,,,Preschool,School Age,Toddlers,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Accepts child care subsidy,,county_33
1689,1,True,True,Child Care Center,100.0,9.0,,0,Child Care Center,100,6 WKS,13 YRS,1.38,156.0,MTWTHFSSU,7,0000,2400,0.0,1440.0,1440.0,2022,,Infants,Preschool,School Age,Toddlers,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Accepts child care subsidy,,county_30
